Found 1614 results
17525980	Altered functional connectivity of primary visual cortex in early blindness.	Department of Radiology, Xuanwu Hospital of Capital University of Medical Sciences, Beijing, China.
22177602	Evidence of a dissociation pattern in resting-state default mode network connectivity in first-episode, treatment-naive major depression patients.	Medical Psychological Institute of the Second Xiangya Hospital, Central South University, Changsha, Hunan, China.
21533283	Assessing the influence of different ROI selection strategies on functional connectivity analyses of fMRI data acquired during steady-state conditions.	U678, Inserm, Paris, France. marrelec@imed.jussieu.fr
21251646	Reduced interhemispheric resting state functional connectivity in cocaine addiction.	Phyllis Green and Randolph Cōwen Institute for Pediatric Neuroscience at the New York University Child Study Center, New York, New York 10016, USA. clare.kelly@nyumc.org
23028892	Resting-state functional connectivity bias of middle temporal gyrus and caudate with altered gray matter volume in major depression.	Key Laboratory for NeuroInformation of Ministry of Education, School of Life Science and Technology, University of Electronic Science and Technology of China, Chengdu, PR China.
21068309	Growing together and growing apart: regional and sex differences in the lifespan developmental trajectories of functional homotopy.	Phyllis Green and Randolph Cōwen Institute for Pediatric Neuroscience, New York University Langone Medical Center, New York, New York 10016, USA. xinian.zuo@nyumc.org
22935402	Impairments in cognitive function and brain connectivity in severe asymptomatic carotid stenosis.	Institute of Brain Science, School of Medicine, National Yang-Ming University, Taipei, Taiwan.
23185536	Differential deactivation during mentalizing and classification of autism based on default mode network connectivity.	Department of Psychology, University of Alabama at Birmingham, Birmingham, Alabama, United States of America.
23267318	Network, anatomical, and non-imaging measures for the prediction of ADHD diagnosis in individual subjects.	Department of Health Sciences, Boston University Boston, MA, USA.
18314354	Mapping resting-state functional connectivity using perfusion MRI.	Laboratory of Functional and Molecular Imaging, National Institutes of Health, Bethesda, MD 20892-1060, USA.
21721829	Is resting-state functional connectivity revealed by functional near-infrared spectroscopy test-retest reliable?	Beijing Normal University, State Key Laboratory of Cognitive Neuroscience and Learning, Xin-Jie-Kou-Wai Street 19, Beijing 100875, China.
23029031	Patterns of spontaneous brain activity in amyotrophic lateral sclerosis: a resting-state FMRI study.	Department of Neurology, West China Hospital, SiChuan University, Chengdu, Sichuan, China.
18799601	Evidence for a frontoparietal control system revealed by intrinsic functional connectivity.	Mallinckrodt Institute of Radiology, Washington University School of Medicine, St. Louis, Missouri, USA. vincent@nmr.mgh.harvard.edu
21118724	Frequency-dependent changes in the amplitude of low-frequency fluctuations in amnestic mild cognitive impairment: a resting-state fMRI study.	Department of Neurology, Xuanwu Hospital, Capital Medical University, Beijing, 100053, China. sophiehanying@gmail.com
20079856	Inter-individual differences in resting-state functional connectivity predict task-induced BOLD activity.	Phyllis Green and Randolph Cōwen Institute for Pediatric Neuroscience at the NYU Child Study Center, 215 Lexington Avenue 14th Floor, New York, NY 10016, USA.
23016836	Fast eigenvector centrality mapping of voxel-wise connectivity in functional magnetic resonance imaging: implementation, validation, and interpretation.	Department of Radiology, VU University Medical Center, Amsterdam, The Netherlands. a.wink@vumc.nl
22028788	Robust reproducible resting state networks in the awake rodent brain.	Pain and Analgesia Imaging Neuroscience Group, A. A. Martinos Center for Biomedical Imaging, Massachusetts General Hospital, Boston, Massachusetts, United States of America. becerra@nmr.mgh.harvard.edu
22414990	Why use a connectivity-based approach to study stroke and recovery of function?	Department of Neurology, Washington University School of Medicine, St. Louis, MO 63110, USA.
21425398	Gender differences in brain functional connectivity density.	Laboratory of Neuroimaging, National Institute on Alcohol Abuse and Alcoholism, Bethesda, Maryland, USA. tomasi@bnl.gov
23286054	Characterization of task-free/task-performance brain states.	School of Automation, Northwestern Polytechnical University, Xi'an, China.
19559684	Acupuncture mobilizes the brain's default mode and its anti-correlated network in healthy subjects.	Athinoula A. Martinos Center for Biomedical Imaging, Department of Radiology, Massachusetts General Hospital and Harvard Medical School, 149 13th St., Charlestown, MA 02129, USA. hui@nmr.mgh.harvard.edu
22958829	Autism-associated promoter variant in MET impacts functional and structural brain networks.	Ahmanson-Lovelace Brain Mapping Center, University of California, Los Angeles, Los Angeles, CA 90095-7085, USA.
17904868	BOLD study of stimulation-induced neural activity and resting-state connectivity in medetomidine-sedated rat.	Wallace H. Coulter Department of Biomedical Engineering, Georgia Institute of Technology and Emory University, 101 Woodruff Circle, Suite 2001, Atlanta, GA 30322, USA.
21456833	The role of nonlinearity in computing graph-theoretical properties of resting-state functional magnetic resonance imaging brain networks.	Institute of Computer Science AS CR, Pod vodárenskou věží 2, 18207 Prague 8, Czech Republic.
20662902	Broca's region: linking human brain functional connectivity data and non-human primate tracing anatomy studies.	The Phyllis Green and Randolph Cowen Institute for Pediatric Neuroscience, New York University Child Study Center, New York, NY 10016, USA.
19376059	Defining neurocognitive networks in the BOLD new world of computed connectivity.	Cognitive Neurology and Alzheimer's Disease Center, Northwestern University, Chicago, IL 60611, USA. mmesulam@northwestern.edu
21111053	Functional connectivity of the insula in the resting brain.	CCS fMRI, Koelliker Hospital, Turin, Italy. franco.cauda@unito.it
17590353	Cerebral blood flow and BOLD responses to a memory encoding task: a comparison between healthy young and elderly adults.	Center for Functional Magnetic Resonance Imaging and Department of Radiology, University of California San Diego, La Jolla, CA 92093-0677, USA.
22666397	Resting-state multi-spectrum functional connectivity networks for identification of MCI patients.	Image Display, Enhancement, and Analysis Laboratory, Biomedical Research Imaging Center and Department of Radiology, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, United States of America.
22921939	Sexual dimorphism in the human brain: evidence from neuroimaging.	Max-Planck-Institute for Human Cognitive and Brain Sciences, Stephanstrasse 1A, Leipzig, Germany. sacher@cbs.mpg.de
16087438	Undirected graphs of frequency-dependent functional connectivity in whole brain networks.	Brain Mapping Unit and Wolfson Brain Imaging Centre, Department of Psychiatry, Addenbrooke's Hospital, University of Cambridge, Cambridge CB2 2QQ, UK.
20410145	Divergent network connectivity changes in behavioural variant frontotemporal dementia and Alzheimer's disease.	Memory and Aging Center, Department of Neurology, University of California, San Francisco, CA 94117, USA.
21575682	Are posterior default-mode networks more robust than anterior default-mode networks? Evidence from resting-state fMRI data analysis.	Department of Brain and Cognitive Engineering, Korea University, Seoul, Republic of Korea.
16407773	Widespread functional disconnectivity in schizophrenia with resting-state functional magnetic resonance imaging.	National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences, Beijing, PR China.
23125131	Frequency-specific alternations in the amplitude of low-frequency fluctuations in schizophrenia.	School of Psychology and Center for Studies of Psychological Application, South China Normal University, Guangzhou 510631, China; Division of the Humanities and Social Sciences, California Institute of Technology, Pasadena, California.
17354790	Discriminative analysis of early Alzheimer's disease based on two intrinsically anti-correlated networks with resting-state fMRI.	National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences, Beijing 100080, China. jiangtz@nlpr.ia.ac.cn
21298074	Abnormal brain default-mode network functional connectivity in drug addicts.	CAS Key Laboratory of Brain Function and Disease, and School of Life Sciences, University of Science and Technology of China, Hefei, China. man@ustc.edu.cn
22002597	The default mode network integrity in patients with Parkinson's disease is levodopa equivalent dose-dependent.	Applied Neurosciences Research Group, Central European Institute of Technology, CEITEC, Masaryk University, Brno, Czech Republic.
18539049	A study of the brain's resting state based on alpha band power, heart rate and fMRI.	Department PMT, VU Medical Center, De Boelelaan 1117, 1081 HV Amsterdam, The Netherlands. jc.demunck@vumc.nl
20350608	Subcortical functional connectivity and verbal episodic memory in healthy elderly--a resting state fMRI study.	Department of Biomedicine, Neuroinformatics and Image Analysis Laboratory, University of Bergen, Bergen, Norway. martin.ystad@biomed.uib.no
21515385	Amplitude low-frequency oscillation abnormalities in the heroin users: a resting state fMRI study.	Department of Medical Imaging, Guangdong No. 2 Provincial People's Hospital, Guangzhou, PR China.
19571149	Distinct cerebellar contributions to intrinsic connectivity networks.	Service de NeuroImagerie, Hôpital des Quinze-Vingts, Université Pierre et Marie Curie Paris 6, 75012 Paris, France. chabas@quinze-vingts.fr
23033990	Functional connectivity profile of the human inferior frontal junction: involvement in a cognitive control network.	Department of Clinical Radiology, University Hospital Münster, Albert-Schweitzer-Campus 1, Gebäude A1, 48149, Münster, Germany. benedikt.sundermann@ukmuenster.de
21394769	On the relationship between seed-based and ICA-based measures of functional connectivity.	Russell H Morgan Department of Radiology and Radiological Science, Johns Hopkins School of Medicine, Baltimore, Maryland, USA. sejoel@mri.jhu.edu
23223295	Altered functional brain connectivity in a non-clinical sample of young adults with attention-deficit/hyperactivity disorder.	Queensland Brain Institute, The University of Queensland, St Lucia, Queensland 4072, Australia. l.cocchi@uq.edu.au
21373864	The cerebellum and cognition: evidence from functional imaging studies.	Department of Psychology, American University, 4400 Massachusetts Avenue NW, Washington, DC 20016, USA. stoodley@american.edu
22941719	Functional Relevance of Micromodules in the Human Association Cortex Delineated with High-Resolution fMRI.	Department of Physiology, The University of Tokyo School of Medicine, Bunkyo-ku, Tokyo 113, Japan and.
18219621	Altered small-world brain functional networks in children with attention-deficit/hyperactivity disorder.	School of Information Science and Technology, Beijing Institute of Technology, Beijing, People's Republic of China.
17707538	Frontal theta EEG activity correlates negatively with the default mode network in resting state.	F.C. Donders Centre for Cognitive Neuroimaging, Radboud University Nijmegen, The Netherlands. rene.scheeringa@fcdonders.ru.nl
19541369	Increased neural resources recruitment in the intrinsic organization in major depression.	Center for Social and Economic Behavior, Institute of Psychology, Chinese Academy of Sciences, Beijing 100190, PR China.
21256967	A wavelet-based method for measuring the oscillatory dynamics of resting-state functional connectivity in MEG.	Laboratory of Brain and Cognition, National Institute of Mental Health, USA. ghumana@mail.nih.gov
15006683	Watching social interactions produces dorsomedial prefrontal and medial parietal BOLD fMRI signal increases compared to a resting baseline.	UCLA Brain Mapping Center, University of California, Los Angeles, CA 90095, USA. iacoboni@loni.ucla.edu
22901705	Alterations in regional homogeneity of resting-state brain activity in internet gaming addicts.	Department of Psychology, Zhejiang Normal University, 688 of Yingbin Road, Jinhua city, Zhejiang Province, PR China. dongguangheng@zjnu.edu.cn
21640839	Antidepressant medications reduce subcortical-cortical resting-state functional connectivity in healthy volunteers.	Department of Psychiatry, Warneford Hospital, University of Oxford, Oxford, UK. ciara.mccabe@psych.ox.ac.uk
23182443	Disrupted correlation between low frequency power and connectivity strength of resting state brain networks in schizophrenia.	The Mind Research Network, Albuquerque, NM 87106, USA. qyu@mrn.org
20871159	[Primary study of resting state functional magnetic resonance imaging in early onset schizophrenia using ReHo].	Institute of Mental Health, Second Xiangya Hospital, Central South University, Changsha, China.
22745490	Loss of intranetwork and internetwork resting state functional connections with Alzheimer's disease progression.	Department of Neurology, Washington University School of Medicine, St. Louis, Missouri 63110, USA.
18649351	Regional homogeneity changes in patients with Parkinson's disease.	Key Laboratory on Neurodegenerate Disorder of Ministry of Education, Department of Neurology, Beijing Institute of Geriatrics, Xuanwu Hospital, Capital Medical University, #45 Changchun Street, Beijing, China.
22647521	Oxytocin enhances resting-state connectivity between amygdala and medial frontal cortex.	Department of Psychiatry, University of Michigan, Ann Arbor, MI 48109-2700, USA. sripada@umich.edu or pn254@cam.ac.uk
21533116	Functional connectivity fMRI of the rodent brain: comparison of functional connectivity networks in rat and mouse.	Bio-Imaging Lab, University of Antwerp, Antwerp, Belgium. elisabeth.jonckers@ua.ac.be
22505284	Extratemporal functional connectivity impairments at rest are related to memory performance in mesial temporal epilepsy.	Department of Neurology, Cognitive Neuroscience and Brain Imaging Laboratory, Thomas Jefferson University, Jefferson Medical College, Philadelphia, Pennsylvania; Department of Neurosurgery, Cognitive Neuroscience and Brain Imaging Laboratory, Thomas Jefferson University, Jefferson Medical College, Philadelphia, Pennsylvania.
21665514	Disrupted thalamocortical connectivity in PSP: a resting-state fMRI, DTI, and VBM study.	Department of Radiology, Mayo Clinic, 200 1st Street SW, Rochester, MN 55905, USA. Whitwell.jennifer@mayo.edu
23049758	Ketamine decreases resting state functional network connectivity in healthy subjects: implications for antidepressant drug action.	Institute for Biomedical Engineering, University and ETH Zurich, Zurich, Switzerland. scheidegger@biomed.ee.ethz.ch
22395207	Biophysical and physiological origins of blood oxygenation level-dependent fMRI signals.	Departments of Radiology, Neurobiology and Bioengineering, Neuroimaging Laboratory, University of Pittsburgh, Pittsburgh, PA, USA. kimsg@pitt.edu
21076991	A historical perspective on the evolution of resting-state functional connectivity with MRI.	Cleveland Clinic Foundation, 9500 Euclid Ave, Cleveland, OH 44195, USA. mjlowe@sbcglobal.net
21458943	Abnormal amygdala connectivity in patients with primary insomnia: evidence from resting state fMRI.	Department of Neurology, Xuanwu Hospital, Capital Medical University, Beijing, PR China.
22805083	[Chinese herbal medicine for patients with mild to moderate Alzheimer disease based on syndrome differentiation: a randomized controlled trial].	Shanghai Geriatric Institute of Chinese Medicine, Shanghai, China.
15167557	Changes in functional connectivity of human MT/V5 with visual motion input.	Department of Diagnostic Radiology, Yale School of Medicine, P.O. Box 208043, New Haven, CT 06510, USA. michelle.hampson@yale.edu
20006713	Impairment and compensation coexist in amnestic MCI default mode network.	Department of Radiology, Xuanwu Hospital of Capital University of Medical Sciences, Beijing 100053, PR China.
20930266	Mapping the altered patterns of cerebellar resting-state function in longitudinal amnestic mild cognitive impairment patients.	School of Clinical Medicine, Southeast University, Nanjing, China.
19941658	Low-frequency BOLD fluctuations demonstrate altered thalamocortical connectivity in diabetic neuropathic pain.	CCS fMRI, Koelliker Hospital, Corso Galileo Ferraris, Turin, Italy. franco.cauda@unito.it
21654968	Neurohemodynamic correlates of 'OM' chanting: A pilot functional magnetic resonance imaging study.	Department of Psychiatry, Advanced Center for Yoga, National Institute of Mental Health and Neurosciences, Bangalore - 560 029, India.
22484204	A novel temporal filtering strategy for functional MRI using UNFOLD.	Department of Computer Assisted Clinical Medicine, Medical Faculty Mannheim, Heidelberg University, Germany. sebastian.domsch@medma.uni-heidelberg.de
