Location,Titles
"19.3234472,-99.17964169999999",Hemispheric asymmetries of functional connectivity and grey matter volume in the default mode network
"19.334231,-99.2444589",Imaging the striatum
"19.3384249,-99.2064869",Music reduces pain and increases resting state fMRI BOLD signal amplitude in the left angular gyrus in fibromyalgia patients
"19.4326077,-99.133208",Neurobiology of autism and attention deficit hyperactivity disorder by means of neuroimaging techniques: convergences and divergences
"20.7004533,-100.4455411","Brainhack: a collaborative workshop for the open neuroscience community, Brainhack: a collaborative workshop for the open neuroscience community"
"21.0480797,105.8006305",Applications To Human Brain Functional Networks
"21.5278199,39.1858412",Discriminative feature selection for uncertain graph classification
"22.2829989,114.1370848","Different involvement of subregions within dorsal premotor and medial frontal cortex for pro-and antisaccades, Different involvement of subregions within dorsal premotor and medial"
"22.2830675,114.1354465",Task-related functional connectivity dynamics in a block-designed visual experiment.
"22.4162632,114.2109318",Accelerating Neuroimage Registration through Parallel Computation of Similarity Metric
"22.4179713,114.2073011",Accelerating Neuroimage Registration through Parallel Computation of Similarity Metric
"22.5574046,114.086058",Accelerating Neuroimage Registration through Parallel Computation of Similarity Metric
"22.595692,113.990429","A two-step super-Gaussian independent component analysis approach for fMRI data, Tractography-based Parcellation of the Human Middle Temporal Gyrus., Improved FastICA algorithm in fMRI data analysis using the sparsity property of the sources"
"22.685402,114.210418",Accelerating Neuroimage Registration through Parallel Computation of Similarity Metric
"22.721471,114.215482",Accelerating Neuroimage Registration through Parallel Computation of Similarity Metric
"22.840965,108.3199931","Human Connectomics across the Life Span, Longitudinal test-retest neuroimaging data from healthy young adults in southwest China, Human Connectomics across the Life Span, Lifespan anxiety is reflected in human amygdala cortical connectivity, Brain structure–function associations identified in large-scale neuroimaging data, Regional homogeneity: a multimodal, multiscale neuroimaging marker of the human connectome, Individual variability and test-retest reliability revealed by ten repeated resting-state brain scans over one month"
"23.039094,113.396038",Dusk: A dual structure-preserving kernel for supervised tensor learning with applications to neuroimages
"23.0748262,-82.45656609999999",Sensation‐to‐cognition cortical streams in attention‐deficit/hyperactivity disorder
"23.0963779,113.2988285",Default network connectivity as a vulnerability marker for obsessive compulsive disorder
"23.09978,113.298458",Asymmetric Development of Dorsal and Ventral
"23.126134,113.350409",Default network connectivity as a vulnerability marker for obsessive compulsive disorder
"23.12911,113.264385",Default network connectivity as a vulnerability marker for obsessive compulsive disorder
"23.150921,113.34719",Dusk: A dual structure-preserving kernel for supervised tensor learning with applications to neuroimages
"23.151326,113.344683",Dusk: A dual structure-preserving kernel for supervised tensor learning with applications to neuroimages
"23.634501,-102.552784",Music reduces pain and increases resting state fMRI BOLD signal amplitude in the left angular gyrus in fibromyalgia patients
"24.4367253,118.1072133",Individual variability and test-retest reliability revealed by ten repeated resting-state brain scans over one month
"24.6857789,92.7509943",Scaling in topological properties of brain networks
"24.9694808,121.1925163","The Association of Aging with White Matter Integrity and Functional Connectivity Hubs, Physiological Contribution in Spontaneous Oscillations: An Approximate Quality-Assurance Index for Resting-State fMRI Signals"
"24.987516,121.576074",Reducing signal loss of the parahippocampal gyrus improves imaging of the default‐mode network in 3.0‐T MRI: the effect of susceptibility‐induced field gradients
"24.9920906,121.4936384",Disrupted thalamic resting-state functional networks in schizophrenia
"24.9934099,121.2969674",Regional brain volume differences between males with and without autism spectrum disorder are highly age-dependent
"25.0130679,121.5416515",Reducing signal loss of the parahippocampal gyrus improves imaging of the default‐mode network in 3.0‐T MRI: the effect of susceptibility‐induced field gradients
"25.0173405,121.5397518","Physiological Contribution in Spontaneous Oscillations: An Approximate Quality-Assurance Index for Resting-State fMRI Signals, Shared atypical brain anatomy and intrinsic functional architecture in male youth with autism spectrum disorder and their unaffected brothers, ADHD classification by a texture analysis of anatomical brain MRI data, Hyperconnectivity of the Right Posterior Temporo‐parietal Junction Predicts Social Difficulties in Boys with Autism Spectrum Disorder, A geometric network model of intrinsic grey-matter connectivity of the human brain"
"25.025354,121.561618",Physiological Contribution in Spontaneous Oscillations: An Approximate Quality-Assurance Index for Resting-State fMRI Signals
"25.0260598,121.5275321",Disrupted thalamic resting-state functional networks in schizophrenia
"25.0341666,121.389184","Physiological Contribution in Spontaneous Oscillations: An Approximate Quality-Assurance Index for Resting-State fMRI Signals, Resting-state functional magnetic resonance imaging analysis with seed definition constrained by regional homogeneity"
"25.037512,121.545224",The singular nature of auditory and visual scene analysis in autism
"25.0395902,121.5195326","Regional brain volume differences between males with and without autism spectrum disorder are highly age-dependent, Hyperconnectivity of the Right Posterior Temporo‐parietal Junction Predicts Social Difficulties in Boys with Autism Spectrum Disorder"
"25.0406784,121.518969","Atypically rightward cerebral asymmetry in male adults with autism stratifies individuals with and without language delay, Atypical lateralization of motor circuit functional connectivity in children with autism is associated with motor deficits, Shared atypical brain anatomy and intrinsic functional architecture in male youth with autism spectrum disorder and their unaffected brothers, Hyperconnectivity of the Right Posterior Temporo‐parietal Junction Predicts Social Difficulties in Boys with Autism Spectrum Disorder, Unsupervised data-driven stratification of mentalizing heterogeneity in autism, Imaging sex/gender and autism in the brain: Etiological implications, On the brain structure heterogeneity of autism: Parsing out acquisition site effects with significance‐weighted principal component analysis, Interoception in Autism Spectrum Disorder: A review"
"25.0588322,121.5223675",The effect of network template from normal subjects in the detection of network impairment
"25.0674712,102.7048115",Feature-reduction and semi-simulated data in functional connectivity-based cortical parcellation
"25.0795304,121.5821569",Regional brain volume differences between males with and without autism spectrum disorder are highly age-dependent
"25.118777,121.5200349","Neural complexity as a potential translational biomarker for psychosis, The Association of Aging with White Matter Integrity and Functional Connectivity Hubs"
"25.1222891,121.4644703",The effect of network template from normal subjects in the detection of network impairment
"25.1230017,121.5137024","New human-specific brain landmark: the depth asymmetry of superior temporal sulcus, The Association of Aging with White Matter Integrity and Functional Connectivity Hubs, Physiological Contribution in Spontaneous Oscillations: An Approximate Quality-Assurance Index for Resting-State fMRI Signals, The effect of network template from normal subjects in the detection of network impairment"
"25.254377,121.4950804",The effect of network template from normal subjects in the detection of network impairment
"25.6936064,-100.3505302",Music reduces pain and increases resting state fMRI BOLD signal amplitude in the left angular gyrus in fibromyalgia patients
"25.7126478,-80.2810746",Idiosyncratic connectivity in autism: developmental and anatomical considerations
"25.713067,-80.2807481","Brainhack: a collaborative workshop for the open neuroscience community, Brainhack: a collaborative workshop for the open neuroscience community, Developmental changes in large-scale network connectivity in autism, Atypical effective connectivity of thalamo‐cortical circuits in autism spectrum disorder, Asymmetric development of dorsal and ventral attention networks in the human brain"
"25.7191685,-80.2771253","Dynamic functional network connectivity reveals unique and overlapping profiles of insula subdivisions, Functional connectivity of brain regions for self‐and other‐evaluation in children, adolescents and adults with autism, Multivariate classification of autism spectrum disorder using frequency-specific resting-state functional connectivity—a multi-center study, Atypical developmental of dorsal and ventral attention networks in autism, Local brain connectivity across development in autism spectrum disorder: A cross‐sectional investigation"
"25.7412344,-80.2945017",Pediatric applications of functional magnetic resonance imaging
"25.75,-80.25999999999999","Atypical developmental of dorsal and ventral attention networks in autism, Functional connectivity of brain regions for self‐and other‐evaluation in children, adolescents and adults with autism"
"25.7565756,-80.3739487","Networks of task co-activations, Functional connectivity of brain regions for self‐and other‐evaluation in children, adolescents and adults with autism, Left inferior parietal lobe engagement in social cognition and language, Functional segregation of the human dorsomedial prefrontal cortex, Different involvement of subregions within dorsal premotor and medial, Subspecialization in the human posterior medial cortex, Brainhack: a collaborative workshop for the open neuroscience community, Multimodal connectivity mapping of the human left anterior and posterior lateral prefrontal cortex, Brainhack: a collaborative workshop for the open neuroscience community, Different involvement of subregions within dorsal premotor and medial frontal cortex for pro-and antisaccades"
"25.7583722,-80.3723895","Different involvement of subregions within dorsal premotor and medial frontal cortex for pro-and antisaccades, A seed-based cross-modal comparison of brain connectivity measures, Comparison of structural covariance with functional connectivity approaches exemplified by an investigation of the left anterior insula, Different involvement of subregions within dorsal premotor and medial"
"25.7616798,-80.1917902",The heterogeneity of the left dorsal premotor cortex evidenced by multimodal connectivity-based parcellation and functional characterization
"25.7904064,-80.21199279999999","Dynamic functional network connectivity reveals unique and overlapping profiles of insula subdivisions, Salience processing and insular cortical function and dysfunction, Insula response and connectivity during social and non-social attention in children with autism, Asymmetric development of dorsal and ventral attention networks in the human brain, Brainhack: a collaborative workshop for the open neuroscience community, On estimating a mixture on graphons, Brainhack: a collaborative workshop for the open neuroscience community, Developmental changes in large-scale network connectivity in autism, Idiosyncratic connectivity in autism: developmental and anatomical considerations, Local brain connectivity across development in autism spectrum disorder: A cross‐sectional investigation"
"26.073353,119.1808068",Tai Chi Chuan and Baduanjin practice modulates functional connectivity of the cognitive control network in older adults
"26.105695,119.305318",Tai Chi Chuan and Baduanjin practice modulates functional connectivity of the cognitive control network in older adults
"26.1155949,119.2909058",Tai Chi Chuan and Baduanjin practice modulates functional connectivity of the cognitive control network in older adults
"27.0969736,-82.4445969",Aberrant cross-brain network interaction in children with attention-deficit/hyperactivity disorder and its relation to attention deficits: A multisite and cross-site replication  …
"28.1888578,112.9927519",Disrupted amplitude of low-frequency fluctuations in antipsychotic-naïve adolescents with early-onset schizophrenia
"28.189532,112.995145","Functional Connectivity of the Caudal Anterior Cingulate Cortex Is Decreased in Autism, Brain Connectivity"
"28.2297114,112.999835","Disruptive changes of cerebellar functional connectivity with the default mode network in schizophrenia, Sparse representation of brain aging: extracting covariance patterns from structural MRI, Combined structural and resting-state functional MRI analysis of sexual dimorphism in the young adult human brain: an MVPA approach, Brain Connectivity, Decoding lifespan changes of the human brain using resting-state functional connectivity MRI, Spatio-temporal Granger causality: A new framework, Predicting individual brain maturity using dynamic functional connectivity"
"28.332082,76.93877900000001",Learning Effective Connectivity from fMRI using Autoregressive hidden Markov model with missing data
"28.3670171,75.5841356",Learning Effective Connectivity from fMRI using Autoregressive hidden Markov model with missing data
"28.542615,77.1688633",Scaling in topological properties of brain networks
"28.5449756,77.1926283",Optshrink LR+ S: accelerated fMRI reconstruction using non-convex optimal singular value shrinkage
"28.5454915,77.1916048",Learning Effective Connectivity from fMRI using Autoregressive hidden Markov model with missing data
"28.5610313,77.2844543",Scaling in topological properties of brain networks
"28.6024274,-81.2000599",Attributed graph distance measure for automatic detection of attention deficit hyperactive disordered subjects
"28.6862869,115.9093113",PRN: a preprint service for catalyzing R-fMRI and neuroscience related studies
"28.730247,115.835962","Spectral properties of the temporal evolution of brain network structure, Random matrix theory for analyzing the brain functional network in attention deficit hyperactivity disorder"
"28.7431407,115.8716662",A novel brain network construction method for exploring age-related functional reorganization
"29.4607701,-98.41623969999999",Traumatic brain injury imaging research roadmap
"29.4863819,-98.57047419999999","Multimodal connectivity mapping of the human left anterior and posterior lateral prefrontal cortex, A seed-based cross-modal comparison of brain connectivity measures"
"29.5062655,-98.5817287","Multiparametric MRI characterization and prediction in autism spectrum disorder using graph theory and machine learning, Evidence for an anterior–posterior differentiation in the human hippocampal formation revealed by meta-analytic parcellation of fMRI coordinate maps: Focus on the  …, Psychosocial versus physiological stress—Meta-analyses on deactivations and activations of the neural correlates of stress reactions, Different involvement of subregions within dorsal premotor and medial, Comparison of structural covariance with functional connectivity approaches exemplified by an investigation of the left anterior insula, Different involvement of subregions within dorsal premotor and medial frontal cortex for pro-and antisaccades"
"29.5074654,-98.57535209999999","Left inferior parietal lobe engagement in social cognition and language, Functional segregation of the human dorsomedial prefrontal cortex, A seed-based cross-modal comparison of brain connectivity measures, Psychosocial versus physiological stress—Meta-analyses on deactivations and activations of the neural correlates of stress reactions, Different involvement of subregions within dorsal premotor and medial, Functional organization of the fusiform gyrus revealed with connectivity profiles, Functional topography of the right inferior parietal lobule structured by anatomical connectivity profiles, Subspecialization in the human posterior medial cortex, The heterogeneity of the left dorsal premotor cortex evidenced by multimodal connectivity-based parcellation and functional characterization, Multimodal connectivity mapping of the human left anterior and posterior lateral prefrontal cortex, Comparison of structural covariance with functional connectivity approaches exemplified by an investigation of the left anterior insula, Neural variability: friend or foe?, Different involvement of subregions within dorsal premotor and medial frontal cortex for pro-and antisaccades"
"29.5135201,-98.57914029999999",Evidence for an anterior–posterior differentiation in the human hippocampal formation revealed by meta-analytic parcellation of fMRI coordinate maps: Focus on the  …
"29.565211,106.467013",Longitudinal test-retest neuroimaging data from healthy young adults in southwest China
"29.6397015,-82.3500358",Edgewise and subgraph‐level tests for brain networks
"29.6398288,-82.3496633",Edgewise and subgraph‐level tests for brain networks
"29.6419104,-82.3432393","Default mode hypoconnectivity underlies a sex-related autism spectrum, Intrinsic brain subsystem associated with dietary restraint, disinhibition and hunger: an fMRI study, Enhancing studies of the connectome in autism using the Autism Brain Imaging Data Exchange II, Autism Brain Imaging Data Exchange, Resting-state functional connectivity of the locus coeruleus in humans: in comparison with the ventral tegmental area/substantia nigra pars compacta and the effects of …, Estimation of resting-state functional connectivity using random subspace based partial correlation: A novel method for reducing global artifacts, A robust classifier to distinguish noise from fMRI independent components, Sex differences in structural organization of motor systems and their dissociable links with repetitive/restricted behaviors in children with autism, Modality-spanning deficits in attention-deficit/hyperactivity disorder in functional networks, gray matter, and white matter"
"29.6424675,-82.346679",Edgewise and subgraph‐level tests for brain networks
"29.6470735,-95.4574509",Identifying diagnostically‐relevant resting state brain functional connectivity in the ventral posterior complex via genetic data mining in autism spectrum disorder
"29.694241,-95.394093",Reduced Inhibitory Control Mediates the Relationship Between Cortical Thickness in the Right Superior Frontal Gyrus and Body Mass Index
"29.6944808,-95.39403879999999","Cortico-Cerebellar Connectivity in Autism Spectrum Disorder: What Do We Know So Far?, The effect of age, sex and clinical features on the volume of Corpus Callosum in pre‐schoolers with Autism Spectrum Disorder: a case–control study"
"29.7010646,-95.39260259999999",Identifying diagnostically‐relevant resting state brain functional connectivity in the ventral posterior complex via genetic data mining in autism spectrum disorder
"29.7034179,-95.4030452","On estimating a mixture on graphons, Entorhinal Cortex Thickness across the Human Lifespan"
"29.7071962,-95.3966904",On estimating a mixture on graphons
"29.709389,-95.39708","Mixed effects models for resampled network statistics improves statistical power to find differences in multi-subject functional connectivity, Entorhinal Cortex Thickness across the Human Lifespan, Mixed effects models to find differences in multi-subject functional connectivity"
"29.710523,-95.39624","Traumatic brain injury imaging research roadmap, A whole brain fMRI atlas generated via spatially constrained spectral clustering, Identifying diagnostically‐relevant resting state brain functional connectivity in the ventral posterior complex via genetic data mining in autism spectrum disorder"
"29.7113815,-95.3989862",Identifying diagnostically‐relevant resting state brain functional connectivity in the ventral posterior complex via genetic data mining in autism spectrum disorder
"29.7120163,-95.39779999999999","Structural and functional connectivity of the human brain in autism spectrum disorders and attention‐deficit/hyperactivity disorder: a rich club‐organization study, Entorhinal Cortex Thickness across the Human Lifespan"
"29.7173941,-95.40183119999999","Mixed effects models for resampled network statistics improves statistical power to find differences in multi-subject functional connectivity, Mixed effects models to find differences in multi-subject functional connectivity"
"29.7200968,-95.3987817","Mixed effects models for resampled network statistics improves statistical power to find differences in multi-subject functional connectivity, Mixed effects models to find differences in multi-subject functional connectivity"
"29.8182942,106.4199687","Intrinsic brain subsystem associated with dietary restraint, disinhibition and hunger: an fMRI study, Neural, electrophysiological and anatomical basis of brain-network variability and its characteristic changes in mental disorders, Longitudinal test-retest neuroimaging data from healthy young adults in southwest China, An open science resource for establishing reliability and reproducibility in functional connectomics, Lifespan anxiety is reflected in human amygdala cortical connectivity, Brain structure–function associations identified in large-scale neuroimaging data, Unraveling the miswired connectome: a developmental perspective, Individual variability and test-retest reliability revealed by ten repeated resting-state brain scans over one month"
"29.9548998,-90.0769497",Default mode connectivity in youth with perinatally acquired HIV
"30.2388799,120.1242855",Functional Connectivity of the Caudal Anterior Cingulate Cortex Is Decreased in Autism
"30.256914,120.201628",Eating behavior associated with gray matter volume alternations: A voxel based morphometry study
"30.263608,120.1234389",New Insights into Signed Path Coefficient Granger Causality Analysis
"30.274084,120.15507","Global signal regression has complex effects on regional homogeneity of resting state fMRI signal, Functional brain hubs and their test–retest reliability: a multiband resting-state functional MRI study, DPABI: data processing & analysis for (resting-state) brain imaging"
"30.284108,120.120354",A localized Richardson–Lucy algorithm for fiber orientation estimation in high angular resolution diffusion imaging
"30.2849185,-97.7340567","The future of fMRI in cognitive neuroscience, The impact of study design on pattern estimation for single-trial multivariate pattern analysis, Functional neuroimaging of visuospatial working memory tasks enables accurate detection of attention deficit and hyperactivity disorder"
"30.2876011,-97.73754269999999","The impact of study design on pattern estimation for single-trial multivariate pattern analysis, Toward open sharing of task-based fMRI data: the OpenfMRI project"
"30.2883496,120.1503041",Assessing the mean strength and variations of the time-to-time fluctuations of resting-state brain activity
"30.289051,120.0092304","An open science resource for establishing reliability and reproducibility in functional connectomics, Eyes-open/eyes-closed dataset sharing for reproducibility evaluation of resting state fMRI data analysis methods, Individual variability and test-retest reliability revealed by ten repeated resting-state brain scans over one month, Single‐subject morphological brain networks: connectivity mapping, topological characterization and test–retest reliability, Assessing the mean strength and variations of the time-to-time fluctuations of resting-state brain activity, A localized Richardson–Lucy algorithm for fiber orientation estimation in high angular resolution diffusion imaging, Functional brain hubs and their test–retest reliability: a multiband resting-state functional MRI study, Spontaneous functional network dynamics and associated structural substrates in the human brain, Relationship between large-scale functional and structural covariance networks in idiopathic generalized epilepsy, DPABI: data processing & analysis for (resting-state) brain imaging, Individual differences in impulsivity predict head motion during magnetic resonance imaging, GRETNA: a graph theoretical network analysis toolbox for imaging connectomics, Topological organization of the human brain functional connectome across the lifespan, Influences of Head Motion Regression on High-Frequency Oscillation Amplitudes of Resting-State fMRI Signals, Global signal regression has complex effects on regional homogeneity of resting state fMRI signal, Test-retest reliability of white matter structural brain networks: a multiband diffusion MRI study"
