Article No,Use of Data,Article Specifiers,
1209,N,,
1211,Y,T,
1214,Y,T,
1219,Y,QO,
1229,I,,
1235,Y,QO,SAME AS 1219 BUT WRONG AUTHORS
1237,Y,QO,
1247,Y,O,
1248,N,,
1251,Y,O,
1271,Y,,
1279,N,,
1280,Y,OQ,
1285,Y,T,
1293,N,T,
1294,Y,O,"WRONG AUTHORS, 2 SEPARATE ABSTRACTS"
1298,N,,
1311,I,,
1313,S,T,
1314,Y,O,
1317,Y,O,
1329,N,,
1333,Y,O,AUTHORS ARE WRONG
1335,N,,
1337,Y,,
1356,N,O,
1360,N,T,
1375,S,,
1377,N,,
1389,Y,O,
1397,Y,,
1399,N,O,
1407,S,T,
1421,Y,,
1423,Y,O,
1424,Y,,
1435,N,,
1444,N,,
1450,I,,
1459,Y,,
1462,Y,,
1465,Y,O,REPEAT OF 1333
1476,Y,,
1478,N,,
1486,Y,,
1488,I,,
1498,N,,
1510,Y,O,
1516,Y,,
1518,Y,O,
1521,Y,O,
1531,Y,O,
1540,I,,
1541,I,,
1551,Y,T,
1553,N,,
1557,I,,
0,Y,Q,
5,Y,Q,
7,N,,
10,N,,
11,N,,
12,Y,Q,
17,Y,,
21,Y,,
22,N,,
30,Y,,
31,N,,
34,N,,
39,Y,O,
40,Y,,
50,Y,O,
55,Y,,
58,N,,
59,Y,,
61,Y,,
63,N,,
65,N,,
66,S,Q,
72,Y,Q,
74,Y,Q,
80,N,,
85,N,Q,
86,N,Q,
88,Y,,
91,Y,Q,
94,Y,,
95,S,,
98,Y,,
99,N,,
101,N,,
106,N,,
108,Y,Q,
109,Y,,
122,Y,,
123,Y,,
134,N,O,
136,Y,,
139,S,,
141,Y,Q,
142,Y,,
144,Y,Q,
148,Y,Q,
149,Y,,
153,S,,
156,N,,
159,N,,
163,S,Q,
164,N,,
167,N,,
168,N,,
169,Y,,
177,Y,,
182,Y,,
184,N,,
185,N,,
188,N,,
189,Y,,
197,Y,,
208,Y,,
212,Y,,
215,Y,,
217,Y,,
223,N,,
229,Y,,
235,S,,
242,Y,,
245,I,,
246,Y,,
249,Y,Q,
254,S,,
256,Y,,
257,Y,,
258,Y,,
259,Y,,
270,N,Q,
275,Y,,
280,Y,,
281,Y,,
291,N,,
294,N,,
296,Y,,
298,Y,,
300,S,,
304,Y,,
312,N,,
314,I,,
315,Y,,
322,Y,,
323,N,,
331,Y,O,
342,N,,
345,N,O,
346,Y,,
361,I,,
369,Y,,
370,Y,,
376,Y,,
383,N,,
384,N,,
389,Y,,
393,N,,
395,N,,
398,Y,,
400,Y,,
403,Y,,
410,N,,
413,Y,,
415,Y,,
419,Y,,
432,N,,
438,N,,
440,N,,
446,N,Q,
447,N,,
449,N,,
450,Y,,
452,Y,,
455,N,,
461,N,,
474,N,,
476,Y,,
477,Y,O,
479,N,,
480,N,,
484,Y,Q,
486,Y,,
489,N,,
490,N,Q,
496,N,,
498,Y,,
499,N,,
500,Y,,
510,N,,
518,Y,,
524,N,Q,duplicate
531,N,,
532,Y,,
541,N,,
542,Y,,
545,Y,,
546,N,,
548,Y,O,
552,N,,
553,N,,
556,N,,
559,Y,O,
568,N,,
570,Y,,
572,Y,,
581,N,,
588,Y,,
590,Y,,
591,N,,
592,N,,
597,Y,,
600,Y,,
602,N,O,
605,Y,,
606,Y,,
608,Y,,
611,Y,,
612,Y,,
614,Y,,
617,Y,O,
632,S,,
636,N,,
640,Y,,
649,S,,
653,Y,Q,
658,Y,,
666,N,,
669,N,,
670,Y,,
673,Y,,
674,Y,,
678,Y,,
679,N,,
681,N,,
683,Y,,
687,N,O,
690,N,,
692,Y,O,
695,Y,O,
703,N,,
704,Y,,
709,Y,,
710,N,O,
711,Y,,
712,Y,Q,
717,N,,
718,N,,
734,Y,,
737,N,,
742,Y,O,
757,Y,,
759,N,,
761,S,,
773,N,,
780,I,,
781,Y,O,
782,N,,
788,Y,O,
789,Y,Q,
793,Y,,
798,Y,,
804,Y,,
810,Y,,
814,Y,O,
819,N,,
820,Y,O,
822,Y,,
829,Y,O,
831,Y,O,
833,Y,O,
839,Y,,
849,Y,,
850,N,,
856,Y,OQ,
857,Y,Q,
864,N,,
866,Y,,
868,Y,,
875,Y,,
881,N,,
887,Y,,
890,Y,,
894,Y,O,
898,Y,O,
899,Y,,
902,Y,,
903,Y,,
911,Y,,
918,N,,
920,Y,,
921,Y,,
922,N,,
929,Y,,
934,Y,O,
935,Y,,
936,Y,,
947,N,,
960,Y,O,
961,Y,O,
962,I,,
964,N,O,
969,Y,,
972,N,O,
974,N,,
980,I,,
986,Y,,
988,Y,,
989,N,O,
992,Y,O,
996,Y,O,
998,Y,T,
999,Y,O,
1000,N,,
1004,Y,O,
1009,Y,,
1012,Y,T,
1014,Y,O,
1020,Y,O,
1026,Y,,
1032,Y,O,
1041,Y,O,
1047,Y,,
1049,Y,,
1052,Y,O,
1053,Y,,
1054,N,,
1056,Y,O,
1059,Y,T,
1063,Y,OQ,
1069,Y,O,
1070,N,,
1073,I,T,
1079,Y,O,
1082,Y,,
1087,Y,,
1092,Y,O,
1100,I,O,
1103,Y,,
1104,N,,
1106,Y,O,
1109,Y,OQ,combination of multiple abstracts
1114,Y,O,
1120,Y,,
1122,Y,O,
1129,Y,,
1130,Y,O,
1131,N,O,
1133,N,,
1134,Y,,
1136,Y,Q,
1144,Y,,
1146,Y,T,
1149,Y,QO,
1157,Y,T,
1161,Y,O,
1164,Y,T,
1165,Y,T,
1166,Y,T,
1175,Y,T,
1178,Y,O,
1182,Y,OQ,
1184,Y,O,
1187,Y,,
1189,Y,T,
1198,Y,,
1202,Y,Q,
1205,Y,,
1212,N,T,
1213,Y,O,
1222,Y,,
1226,Y,T,
1228,Y,T,
1230,Y,,
1242,S,T,
1246,Y,,
1250,Y,,
1253,Y,,
1262,Y,O,
1263,Y,O,
1265,Y,,
1268,Y,,
1269,Y,,
1273,Y,,
1281,Y,O,
1283,Y,O,
1286,N,Q,
1290,Y,O,
1292,Y,T,
1297,N,,
1312,N,,
1315,N,,
1320,N,,
1322,Y,T,
1323,N,,
1327,Y,O,
1339,N,,
1343,N,,
1349,Y,O,
1353,Y,,
1362,N,,
1364,Y,O,
1366,Y,Q,
1367,Y,,
1368,I,T,
1370,N,O,
1374,N,O,"same as above abstract, authors are also wrong for both"
1379,N,O,
1380,Y,,
1384,Y,O,
1385,Y,O,
1386,N,O,"same as 1370 and 1374, author still wrong"
1393,N,,
1403,Y,O,
1408,N,T,
1409,Y,,
1417,Y,QO,
1420,Y,,
1425,Y,T,
1436,N,O,
1438,Y,O,
1451,N,,
1455,Y,O,author list is wrong
1457,N,,
1460,Y,O,
1469,Y,O,
1477,Y,O,
1487,Y,O,
1492,N,,
1497,Y,,
1499,N,,
1502,Y,,
1503,Y,,
1511,N,,
1512,Y,O,
1524,Y,O,
1530,Y,,
1534,Y,O,
1536,N,O,
1543,Y,T,
1547,N,T,
1548,Y,O,
1550,Y,,
1556,Y,O,
1558,Y,O,
