,Title,URL,Year,Citations,Versions,Cluster ID,PDF link,Citations list,Versions list,Citation link,Excerpt,Journal,Authors,Publisher
10,An ADHD Diagnostic Approach Based on Binary-Coded Genetic Algorithm and Extreme Learning Machine,http://www.dbpia.co.kr/Journal/ArticleDetail/NODE07085753,2016,0,0,,,,,http://scholar.googleusercontent.com/scholar.bib?q=info:PwR9WiAyiDEJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMIv32-9v0RMfA3cmWn3_DL1KrqkOyY&scisf=4&ct=citation&cd=10&hl=en,... imaging (MRI). The research examines structural MRI of the hippocampus from theADHD-200 database. Each available MRI has been processed by a region-of-interest(ROI) to build a set of features for further analysis. The ...,Journal of Computing Science and Engineering,"Sachnev, Vasily & Suresh, Sundaram",
11,Age prediction on the basis of brain anatomical measures,http://onlinelibrary.wiley.com/doi/10.1002/hbm.23434/full,2017,0,2,,,,"http://scholar.google.com/scholar?cluster=10779921192580101637&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:BTZxzjX5mZUJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMIv8HLZatda_na_ME6a3J7Gr5f9Xf8&scisf=4&ct=citation&cd=11&hl=en,... Abbreviations: ABIDE: Autism Brain Imaging Data Exchange (http://fcon_1000.projects.nitrc.org/indi/abide/); ADHD: Attention Deficit Hyperactivity Disorder; FCN 1000: 1000 FunctionalConnectomes Project (https://www.nitrc.org/projects/fcon_1000/); ICBM ...,Human Brain Mapping,"Valizadeh, SA & H{\""a}nggi, J & M{\'e}rillat, S & J{\""a}ncke, L",Wiley Online Library
12,Statistical testing and power analysis for brain-wide association study,http://biorxiv.org/content/early/2016/12/21/089870.abstract,2016,0,4,,,,"http://scholar.google.com/scholar?cluster=18114390281571182735&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:j6jWp_w9Y_sJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMIv-GrhQw51MV7W__2ZdV5hGPt26K8&scisf=4&ct=citation&cd=12&hl=en,"... complexity of permutation-based approach in controlling the false positive rate and providesrobust and reproducible findings in several real datasets, such as the 1000 FunctionalConnectomes Project (1000 FCP), Autism Brain Imaging Data Exchange (ABIDE), Center for ...",bioRxiv,"Gong, Weikang & Wan, Lin & Lu, Wenlian & Ma, Liang & Cheng, Fan & Cheng, Wei & Gruenewald, Stefan & Feng, Jianfeng",Cold Spring Harbor Labs Journals
13,Large-scale Brain Network Connectivity in Attention-Deficit/Hyperactivity Disorder and Autism,http://scholar.google.com/https://umshare.miami.edu/web/wda/undergraduateresearch/UGR%20Newsletter/URN_Complete_Volume4_Spring2015.pdf#page=8,2015,0,2,,,,"http://scholar.google.com/scholar?cluster=18325579666690164469&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:9UYwIJ2JUf4J:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMIv9vckTVfhU3PfeZnF9A3v3_Tkw5L&scisf=4&ct=citation&cd=13&hl=en,"... To further organize the three research groups, the resting state functional MRI data was collectedfrom 57 children of ages 6-12 obtained from the publicly available ABIDE (http://fcon_1000.projects. nitrc. org/i ndi/abide/) and ADHD-200 (http://fcon_1000. projects. nitrc. ...",Undergraduate Research Newsletter,"Oliver, Rochelle Camino",University of Miami
14,Detecting task-based fMRI compliance using plan abandonment techniques,,2016,0,0,,,,,http://scholar.googleusercontent.com/scholar.bib?q=info:MEhbUum-JYAJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMIv0jLdWR85Lg4mP-RtyyFnZ6MgacL&scisf=4&ct=citation&cd=14&hl=en,,GigaScience,"Pereira, Ramon Fraga & Heinsfeld, Anibal S{\'o}lon & Franco, Alexandre Rosa & Buchweitz, Augusto & Meneguzzi, Felipe",Oxford University Press
15,Assessment of social and cognitive dysfunction of autism spectrum disorder through functional network connectivity,http://ieeexplore.ieee.org/abstract/document/7839061/,2016,0,0,,,,,http://scholar.googleusercontent.com/scholar.bib?q=info:VNH-OZSMlHUJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMIv8O3bVym06FR_FtDjqLL01bhA87q&scisf=4&ct=citation&cd=15&hl=en,... different labs which are working in collaboration under International Neuroimaging Data-SharingInitiative. ... present work is downloaded from the autism brain imaging data exchange (ABIDE I ...roimaging Data-Sharing Initiative (INDI) and 1000 Functional Connectomes Project [15 ...,,"Sariya, Yogesh Kumar & Anand, RS",
16,DPABI: data processing & analysis for (resting-state) brain imaging,http://link.springer.com/article/10.1007/s12021-016-9299-4,2016,20,8,5519247026645305337,,"http://scholar.google.com/scholar?cites=5519247026645305337&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=5519247026645305337&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:-QfTsu1NmEwJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMIv6ltcLxhbttjI4IxBv_-a2lDv4lJ&scisf=4&ct=citation&cd=16&hl=en,... ADHD-200-Consortium. (2012). The ADHD-200 Consortium: a model to advance the translationalpotential of neuroimaging in clinical neuroscience. ... The autism brain imaging data exchange:towards a large-scale evaluation of the intrinsic brain architecture in autism. ...,Neuroinformatics,"Yan, Chao-Gan & Wang, Xin-Di & Zuo, Xi-Nian & Zang, Yu-Feng",Springer
17,Age-related changes in functional connectivity between young adulthood and late adulthood,http://pubs.rsc.org/-/content/articlehtml/2015/ay/c5ay00699f,2015,1,0,17683018628912664672,,"http://scholar.google.com/scholar?cites=17683018628912664672&as_sdt=2005&sciodt=0,5&hl=en",,http://scholar.googleusercontent.com/scholar.bib?q=info:YFD0HMGzZvUJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMIvxN1Lh_FS55fTwsUfs9I22p-N0iq&scisf=4&ct=citation&cd=17&hl=en,"... All the data used in this study were selected from the 1000 Functional Connectomes Project(http://fcon_1000.projects.nitrc.org/), the purpose of which is to provide a large-scale functionalimaging dataset through collecting resting-state functional magnetic resonance imaging (R ...",Analytical Methods,"Xu, Xin & Kuang, Qifan & Zhang, Yongqing & Wang, Huijun & Wen, Zhining & Li, Menglong",Royal Society of Chemistry
18,Classification of ADHD subgroup with recursive feature elimination for structural brain MRI,http://ieeexplore.ieee.org/abstract/document/7592078/,2016,0,3,,,,"http://scholar.google.com/scholar?cluster=3174835255348039342&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:rg5o_9dHDywJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMIvwS9EbPRYo16M5OnPFN0seyLB6d7&scisf=4&ct=citation&cd=18&hl=en,"... II. METHOD A. Dataset We obtained neuroimaging data of ADHD patients from theADHD-200 MRI dataset, publicly available at http://fcon_1000.projects.nitrc.org/indi/adhd200.These T-1- weighted MRI scans were acquired at six different institutes. ...",,"Qureshi, Muhammad Naveed Iqbal & Lee, Boreom",
19,Resting-State Functional Connectivity of the Basal Nucleus of Meynert in Cigarette Smokers: Dependence Level and Gender Differences,http://ntr.oxfordjournals.org/content/early/2016/10/13/ntr.ntw209.short,2016,1,2,17086551899681239818,,"http://scholar.google.com/scholar?cites=17086551899681239818&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=17086551899681239818&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:CrPGoGygH-0J:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMIv3QMtzhquNOqaTSI8SaiMgeCFaW_&scisf=4&ct=citation&cd=19&hl=en,... Materials and Methods. Dataset. Resting-state functional magnetic resonance imaging (fMRI)scans were obtained from the Nathan Kline Institute/Rockland sample of the 1000 FunctionalConnectomes project (http://​www.​nitrc.​org/​projects/​fcon_​1000/​). ...,Nicotine \& Tobacco Research,"Zhang, Sheng & Hu, Sien & Fucito, Lisa M & Luo, Xingguang & Mazure, Carolyn M & Zaborszky, Laszlo & Chiang-shan, R Li",Oxford University Press
20,Motion and morphometry in clinical populations,http://scholar.google.com/https://peerj.com/preprints/1363/,2015,0,2,,,,"http://scholar.google.com/scholar?cluster=1124835952260911098&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:-o8ZxVY4nA8J:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMIwhYOd6bMLARDe9LdDXiXvfzx8FpV&scisf=4&ct=citation&cd=20&hl=en,"... Methods Whole brain T1-weighted MRI and resting state fMRI acquisitions from the ABIDE,ADHD-200 and COBRE databases were included in our analyses. ... Supplementary material:acquisition parameters for ABIDE and ADHD-200 rsfMRI acquisitions. ...",,"Pardoe, Heath R & Hiess, Rebecca Kucharsky & Kuzniecky, Ruben",
21,Cerebellar Volume in Children With Attention-Deficit Hyperactivity Disorder (ADHD) Replication Study,http://jcn.sagepub.com/content/early/2016/11/24/0883073816678550.abstract,2016,0,4,,,,"http://scholar.google.com/scholar?cluster=12864083304030432901&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:hW7EsZtnhrIJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMIwkHdb_P9dxG-5oEtEtVABkQld5rW&scisf=4&ct=citation&cd=21&hl=en,"... Ethical Approval The data for the study were acquired from the ADHD-200 Consortium,a member of the open science International Neuroimaging Data-sharing Initiative(INDI, see http://fcon_1000.projects.nitrc.org/indi/adhd200/). ...",Journal of Child Neurology,"Wyciszkiewicz, Aleksandra & Pawlak, Mikolaj A & Krawiec, Krzysztof",SAGE Publications
22,Uncovering the social deficits in the autistic brain. A Source-Based Morphometric study,http://scholar.google.com/https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5005369/,2016,0,7,,,,"http://scholar.google.com/scholar?cluster=10054775832735239816&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:iM5d7li9iYsJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMIwpVjytKDok_d-ULxItTAJSojAEHm&scisf=4&ct=citation&cd=22&hl=en,"... of 82 participants (32 AD and 50 controls) were extracted from Autism Brain Imaging DataExchange (ABIDE). Details of acquisition, informed consent, site-specific protocols, specificdiagnostic criteria for each data set can be found at http://fcon_1000.projects.nitrc.org/indi/abide ...",Frontiers in Neuroscience,"Grecucci, Alessandro & Rubicondo, Danilo & Siugzdaite, Roma & Surian, Luca & Job, Remo",Frontiers Media SA
23,Automatic identification of resting state networks: an extended version of multiple template-matching,http://proceedings.spiedigitallibrary.org/proceeding.aspx?articleid=2479336,2015,0,7,,,,"http://scholar.google.com/scholar?cluster=16530391889610665025&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:Qew9gte_Z-UJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMIwnyOs5x5vuWd5LUZNAKz-wcQUYB_&scisf=4&ct=citation&cd=23&hl=en,... Data from 1000 Functional Connectomes Project was also used. 1000 Functional ConnectomesProject (http://fcon_1000.projects.nitrc.org) captures and manages collections of fMRI-RS dataacquired in more than 30 independent studies from around the world. ...,,"Guaje, Javier & Molina, Juan & Rudas, Jorge & Demertzi, Athena & Heine, Lizette & Tshibanda, Luaba & Soddu, Andrea & Laureys, Steven & G{\'o}mez, Francisco",
24,Complex network measures in Autism Spectrum Disorders,http://ieeexplore.ieee.org/abstract/document/7239574/,2015,2,4,5708077620361406721,,"http://scholar.google.com/scholar?cites=5708077620361406721&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=5708077620361406721&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:Aan_X1oqN08J:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMIwtLGxchN5-RGIYh9atj0xpgGHST-&scisf=4&ct=citation&cd=24&hl=en,... 7.13 years). The research performed by the ABIDE contributing sites is in accordancewith JIPAA guidelines and 1000 Functional Connectomes Project/INDI(http://fcon_1000.projects.nitrc.org/) protocols. All data distributed ...,IEEE/ACM transactions on computational biology and bioinformatics,"Sato, Joao Ricardo & Vidal, Maciel & de Siqueira Santos, Suzana & Massirer, Katlin Brauer & Fujita, Andre",IEEE
25,Brain structure–function associations identified in large-scale neuroimaging data,http://link.springer.com/article/10.1007/s00429-015-1177-6,2016,1,8,171880899814879374,,"http://scholar.google.com/scholar?cites=171880899814879374&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=171880899814879374&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:jvAjicSkYgIJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMIwnB8GpquoenMroGd2G3hBnwp01Gt&scisf=4&ct=citation&cd=25&hl=en,... Methods. Datasets. We used two publicly available large datasets from the 1000 FunctionalConnectomes Project (FCP; http://fcon_1000.projects.nitrc.org/fcpClassic/FcpTable.html) (Biswalet al. 2010) and the Consortium for Reliability and Reproducibility (Zuo et al. ...,Brain Structure and Function,"Yang, Zhi & Qiu, Jiang & Wang, Peipei & Liu, Rui & Zuo, Xi-Nian",Springer
26,Developing advanced methods for covariance representations in computer vision,http://ro.uow.edu.au/theses/4833/,2016,0,0,,,,,http://scholar.googleusercontent.com/scholar.bib?q=info:vPjR5629mqgJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMIwqj2F294teHfBVmBzrRKUDyRIDFx&scisf=4&ct=citation&cd=26&hl=en,... dot); (c) the unified representation is sparsely represented by the atoms (denoted by bluedots) in F. . . . . 94 5.3 Comparison of classification performance between different methodsusing a single sparsity level of SICE network on ADHD-200 data set. ...,,"Zhang, Jianjia",
27,Discrimination of ADHD children based on Deep Bayesian Network,http://ieeexplore.ieee.org/abstract/document/7450340/,2015,1,3,989120094614290375,,"http://scholar.google.com/scholar?cites=989120094614290375&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=989120094614290375&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:x3-vR3wPug0J:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMIwsnbjy1CIv44e80chdrIQsSU0xMx&scisf=4&ct=citation&cd=27&hl=en,"... The final results perform better than using single Deep Belief Network and the bestresults in ADHD-200 competition. 1 Introduction ... In the global ADHD-200 competition,Eloyan A et al. [5] has achieved relatively better scores by ...",,"Hao, A Junyu & He, B Lianghua & Yin, C Hongyi",
28,A representative sample of web-accessible Neuroinformatics resources surveyed for its availability and contribution to the community in the past 5 years ( …,http://ebot.gmu.edu/handle/1920/9150,2015,0,2,,,,"http://scholar.google.com/scholar?cluster=17446954452762334577&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:cZVRCaMIIPIJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMIwjor1-M4dSwSto2vRMOAWfsVSwDa&scisf=4&ct=citation&cd=28&hl=en,"... parent_org,funding_agency 1,""PMC3508475 25048627"",http://fcon_1000.projects.nitrc.org,1000Functional ... by the collaborative launch of the 1000 Functional Connectomes Project (FCP) on ... usermanual user forum citations"",freeware,""ABIDE, ADHD-200 (ADHD200), INDI"", 2 ...",,"Polavaram, Sridevi",
29,"Interindividual differences in cognitive flexibility: influence of gray matter volume, functional connectivity and trait impulsivity",http://link.springer.com/article/10.1007/s00429-014-0797-6,2015,19,12,8482886485930715652,,"http://scholar.google.com/scholar?cites=8482886485930715652&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=8482886485930715652&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:BKrcj1BEuXUJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMIwvtrjEPYGXjku-pjCnXa7jPp3fWk&scisf=4&ct=citation&cd=29&hl=en,"... Methods. Participants. Data were obtained from the Nathan Kline Institute 'Rockland'sample, which is available online as part of the International Neuroimaging DatasharingInitiative ( http://fcon_1000.projects.nitrc.org/indi/pro/nki.html). ...",Brain Structure and Function,"M{\""u}ller, Veronika I & Langner, Robert & Cieslik, Edna C & Rottschy, Claudia & Eickhoff, Simon B",Springer
30,Brain connectivity in autism: the significance of null findings,http://scholar.google.com/https://www.researchgate.net/profile/Lynn_Paul2/publication/278743572_Brain_Connectivity_in_Autism_The_Significance_of_Null_Findings/links/5695773d08ae820ff074c0e0.pdf,2015,4,7,18297133683962817286,http://scholar.google.com/https://www.researchgate.net/profile/Lynn_Paul2/publication/278743572_Brain_Connectivity_in_Autism_The_Significance_of_Null_Findings/links/5695773d08ae820ff074c0e0.pdf,"http://scholar.google.com/scholar?cites=18297133683962817286&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=18297133683962817286&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:BitwqCR67P0J:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMIxHV_SGkOeVCuJwhISbD2kPM0tUhM&scisf=4&ct=citation&cd=30&hl=en,"... In their investigation of size of the corpus callosum in idiopathic ASD, Lefebvre et al. capitalizedon a data-sharing initiative, the Autism Brain Imaging Data Exchange (ABIDE) consortium (4),to overcome the power limitations from small sample sizes evident in prior studies. ...",Biological psychiatry,"Kennedy, Daniel P & Paul, Lynn K & Adolphs, Ralph",Elsevier
31,Importance of phenotypic information in ADHD diagnosis,http://ieeexplore.ieee.org/abstract/document/7100722/,2015,1,3,8699001217066672423,,"http://scholar.google.com/scholar?cites=8699001217066672423&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=8699001217066672423&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:JyHzg4QPuXgJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMIxDd4xgayXETHebJiR3HWtNUK-OcJ&scisf=4&ct=citation&cd=31&hl=en,"... Performance of the proposed ADHD diagnosis is evaluated on a benchmark ADHD-200consortium database. ... In the pilot study, two regions were taken (amygdala and cerebellarvermis) from the ADHD- 200 data set. Badrinarayanan et. al. ...",,"Rangarajan, B & Subramaian, K & Suresh, S",
32,MRI-based intelligence quotient (IQ) estimation with sparse learning,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0117295,2015,0,21,,,,"http://scholar.google.com/scholar?cluster=13963109785028676989&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:fU1qqF7uxsEJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMIxLRzTg_I8agdmX7ba3U3oi4WbXa8&scisf=4&ct=citation&cd=32&hl=en,"... Materials and Preprocessing. Subjects. We downloaded the data from Autism BrainImaging Data Exchange (ABIDE) (available at http://fcon_1000.projects.nitrc.org/indi/abide/). Specifically, we used MRI samples of 164 (male ...",PloS one,"Wang, Liye & Wee, Chong-Yaw & Suk, Heung-Il & Tang, Xiaoying & Shen, Dinggang",Public Library of Science
