title	citation_count
APOE4 allele disrupts resting state fMRI connectivity in the absence of amyloid plaques or decreased CSF A$\beta$42.	7
Decreased functional brain connectivity in individuals with early-treated phenylketonuria: evidence from resting state fMRI.	5
Resting-state BOLD networks versus task-associated functional MRI for distinguishing Alzheimer's disease risk groups.	16
The resting brain: unconstrained yet reliable.	41
Structural and functional cerebral impairments in cirrhotic patients with a history of overt hepatic encephalopathy.	7
Using spatial multiple regression to identify intrinsic connectivity networks involved in working memory performance.	34
White matter microstructure underlying default mode network connectivity in the human brain.	18
Assessing the influence of different ROI selection strategies on functional connectivity analyses of fMRI data acquired during steady-state conditions.	23
Alzheimer Disease: evaluation of a functional MR imaging index as a marker.	2
Altered resting state networks in epileptic patients with generalized tonic-clonic seizures.	19
Resting states affect spontaneous BOLD oscillations in sensory and paralimbic cortex.	17
Predicting conceptual processing capacity from spontaneous neuronal activity of the left middle temporal gyrus.	11
The organization of local and distant functional connectivity in the human brain.	22
Functional networks in the anesthetized rat brain revealed by independent component analysis of resting-state FMRI.	30
Temporal and spatial evolution of brain network topology during the first two years of life.	17
Disrupted functional connectivity in social anxiety disorder: a resting-state fMRI study.	12
Specific and nonspecific thalamocortical functional connectivity in normal and vegetative states.	7
Functional connectivity magnetic resonance imaging classification of autism.	23
To wake or not to wake? The two-sided nature of the human K-complex.	10
The future of FMRI connectivity.	15
Resting-state brain organization revealed by functional covariance networks.	36
Altered functional connectivity and small-world in mesial temporal lobe epilepsy.	27
Metabolic origin of BOLD signal fluctuations in the absence of stimuli.	10
Non-parametric model selection for subject-specific topological organization of resting-state functional connectivity.	21
Investigating the electrophysiological basis of resting state networks using magnetoencephalography.	9
Spontaneous brain activity changes in children with primary monosymptomatic nocturnal enuresis: A resting-state fMRI study.	10
The precuneus/posterior cingulate cortex plays a pivotal role in the default mode network: Evidence from a partial correlation network analysis.	26
Eigenvector centrality mapping for analyzing connectivity patterns in FMRI data of the human brain.	16
Discriminative analysis of resting-state functional connectivity patterns of schizophrenia using low dimensional embedding of fMRI.	7
Switching between executive and default mode networks in posttraumatic stress disorder: alterations in functional connectivity.	29
Multiplexed echo planar imaging for sub-second whole brain FMRI and fast diffusion imaging.	6
Network-based statistic: identifying differences in brain networks.	10
Three dimensional echo-planar imaging at 7 Tesla.	2
Synchronized delta oscillations correlate with the resting-state functional MRI signal.	11
Changes of resting state brain networks in amyotrophic lateral sclerosis.	19
Resting-state brain activity in adult males who stutter.	21
Diagnostic power of default mode network resting state fMRI in the detection of Alzheimer's disease.	15
Intrinsic interhemispheric hippocampal functional connectivity predicts individual differences in memory performance ability.	10
Genetic variation in serotonin transporter alters resting brain function in healthy individuals.	1
The role of left ventrolateral prefrontal cortex during episodic decisions: semantic elaboration or resolution of episodic interference?	1
Abnormalities of intrinsic functional connectivity in autism spectrum disorders.	19
Functional connectivity and brain networks in schizophrenia.	18
Reading networks at rest.	40
A cerebrovascular response model for functional neuroimaging including dynamic cerebral autoregulation.	1
A preliminary study of the dysregulation of the resting networks in first-episode medication-naive adolescent depression.	8
Functional connectivity as revealed by spatial independent component analysis of fMRI measurements during rest.	7
Intact bilateral resting-state networks in the absence of the corpus callosum.	26
Brain connectivity related to working memory performance.	13
Alteration of brain functional network at rest and in response to YMCA physical stress test in concussed athletes: RsFMRI study.	7
Cluster analysis of resting-state fMRI time series.	14
MRI of neuronal network structure, function, and plasticity.	20
Development of the brain's functional network architecture.	11
Structures involved at the time of temporal lobe spikes revealed by interindividual group analysis of EEG/fMRI data.	3
A simple and objective method for reproducible resting state network (RSN) detection in fMRI.	9
Effect of resting-state functional MR imaging duration on stability of graph theory metrics of brain network connectivity.	16
Attention-related networks in Alzheimer's disease: A resting functional MRI study.	26
Cross hippocampal influence in mesial temporal lobe epilepsy measured with high temporal resolution functional magnetic resonance imaging.	9
Default-mode network connectivity and white matter burden in late-life depression.	6
Diffusion-weighted imaging tractography-based parcellation of the human parietal cortex and comparison with human and macaque resting-state functional connectivity.	8
Hierarchical functional modularity in the resting-state human brain.	7
Mesocorticolimbic circuits are impaired in chronic cocaine users as demonstrated by resting-state functional connectivity.	18
Frequencies contributing to functional connectivity in the cerebral cortex in "resting-state" data.	2
Functional alterations in memory networks in early Alzheimer's disease.	19
A wavelet-based method for measuring the oscillatory dynamics of resting-state functional connectivity in MEG.	7
Changes of functional connectivity of the motor network in the resting state in Parkinson's disease.	5
A parallel functional topography between medial and lateral prefrontal cortex: evidence and implications for cognitive control.	7
High b-value diffusion-weighted fMRI in a rat forepaw electrostimulation model at 7 T.	0
Multivariate network-level approach to detect interactions between large-scale functional systems.	10
Functional connectivity and alterations in baseline brain state in humans.	30
Functional resting-state networks are differentially affected in schizophrenia.	30
Discovering imaging endophenotypes for major depression.	15
Hemisphere- and gender-related differences in small-world brain networks: a resting-state functional MRI study.	9
Discovering the somatotopic organization of the motor areas of the medial wall using low-frequency BOLD fluctuations.	21
Multimodal analysis of resting state cortical activity: what does EEG add to our knowledge of resting state BOLD networks?	8
The default mode network and EEG alpha oscillations: An independent component analysis.	14
Anxiety dissociates dorsal and ventral medial prefrontal cortex functional connectivity with the amygdala at rest.	13
Nicotine effects on default mode network during resting state.	8
Functional connectivity of the superior human temporal sulcus in the brain resting state at 3T.	3
Resting-state functional connectivity in major depression: abnormally increased contributions from subgenual cingulate cortex and thalamus.	20
Paradigm shift in translational neuroimaging of CNS disorders.	28
Neurodegenerative diseases target large-scale human brain networks.	21
Empirical comparison of sources of variation for FMRI connectivity analysis.	8
Brain connectivity in pathological and pharmacological coma.	17
Increased intrinsic brain activity in the striatum reflects symptom dimensions in schizophrenia.	11
REST: A toolkit for resting-state functional magnetic resonance imaging data processing.	38
Low-frequency BOLD fluctuations demonstrate altered thalamocortical connectivity in diabetic neuropathic pain.	19
Modulation of functional connectivity during the resting state and the motor task.	7
Investigations into resting-state connectivity using independent component analysis.	10
Hemispheric asymmetry in cognitive division of anterior cingulate cortex: a resting-state functional connectivity study.	17
Comparing dynamic causal models.	0
A group model for stable multi-subject ICA on fMRI datasets.	25
Brain state regulation during normal development: Intrinsic activity fluctuations in simultaneous EEG-fMRI.	37
Origin of synchronized low-frequency blood oxygen level-dependent fluctuations in the primary visual cortex.	18
An alternative approach towards assessing and accounting for individual motion in fMRI timeseries.	6
Human Parietofrontal Networks Related to Action Observation Detected at Rest.	16
Glutamatergic and resting-state functional connectivity correlates of severity in major depression - the role of pregenual anterior cingulate cortex and anterior insula.	25
Comprehensive in vivo mapping of the human basal ganglia and thalamic connectome in individuals using 7T MRI.	7
The role of physiological noise in resting-state functional connectivity.	27
Imaging the default mode network in aging and dementia.	31
Introducing graph theory to track for neuroplastic alterations in the resting human brain: a transcranial direct current stimulation study.	10
Lesion evidence for the critical role of the intraparietal sulcus in spatial attention.	2
Selective aberrant functional connectivity of resting state networks in social anxiety disorder.	24
The role of functional magnetic resonance imaging in the study of brain development, injury, and recovery in the newborn.	16
Functional connectivity between task-positive and task-negative brain areas and its relation to working memory performance.	13
Frequency-dependent changes in the amplitude of low-frequency fluctuations in amnestic mild cognitive impairment: a resting-state fMRI study.	18
Network asymmetry of motor areas revealed by resting-state functional magnetic resonance imaging.	12
Detection of signal synchronizations in resting-state fMRI datasets.	6
Preoperative localization of the sensorimotor area using independent component analysis of resting-state fMRI.	9
Distinct and overlapping functional zones in the cerebellum defined by resting state functional connectivity.	9
Two systems of resting state connectivity between the insula and cingulate cortex.	14
Resting state networks in human cervical spinal cord observed with fMRI.	5
Magnetic resonance perfusion imaging of resting-state cerebral blood flow in preclinical Huntington's disease.	1
Mapping Transient Hyperventilation Induced Alterations with Estimates of the Multi-Scale Dynamics of BOLD Signal.	10
Recursive cluster elimination based support vector machine for disease state prediction using resting state functional and effective brain connectivity.	8
Cerebral blood flow during rest associates with general intelligence and creativity.	5
Reciprocal effects of antidepressant treatment on activity and connectivity of the mood regulating circuit: an FMRI study.	12
Resting state networks change in clinically isolated syndrome.	18
A parcellation scheme for human left lateral parietal cortex.	11
Network anticorrelations, global regression, and phase-shifted soft tissue correction.	32
Cortico-striatal disconnection within the cingulo-opercular network in schizophrenia revealed by intrinsic functional connectivity analysis: a resting fMRI study.	28
Strength of default mode resting-state connectivity relates to white matter integrity in children.	26
Periods of rest in fMRI contain individual spontaneous events which are related to slowly fluctuating spontaneous activity.	28
Developmental maturation of dynamic causal control signals in higher-order cognition: a neurocognitive network model.	13
Consistency and functional specialization in the default mode brain network.	23
Resting-state spontaneous fluctuations in brain activity: a new paradigm for presurgical planning using fMRI.	23
Toward dysfunctional connectivity: a review of neuroimaging findings in pediatric major depressive disorder.	14
Abnormal resting-state functional connectivity of posterior cingulate cortex in amnestic type mild cognitive impairment.	17
Divergent network connectivity changes in behavioural variant frontotemporal dementia and Alzheimer's disease.	32
Frequency based mutual information measures between clusters of brain regions in functional magnetic resonance imaging.	6
The resting state questionnaire: An introspective questionnaire for evaluation of inner experience during the conscious resting state.	11
Alterations in default network connectivity in posttraumatic stress disorder related to early-life trauma.	18
Default network connectivity during a working memory task.	21
Face-Specific Resting Functional Connectivity between the Fusiform Gyrus and Posterior Superior Temporal Sulcus.	16
Dissociable intrinsic connectivity networks for salience processing and executive control.	19
The association between resting functional connectivity and creativity.	14
Clinical applications of resting state functional connectivity.	96
Cognitive state and connectivity effects of the genome-wide significant psychosis variant in ZNF804A.	18
Functional connectivity estimation in fMRI data: influence of preprocessing and time course selection.	5
Predicting human resting-state functional connectivity from structural connectivity.	25
Blood oxygenation level dependent contrast resting state networks are relevant to functional activity in the neocortical sensorimotor system.	2
Searching for a baseline: functional imaging and the resting human brain.	3
Thalamic resting-state functional networks: disruption in patients with mild traumatic brain injury.	13
Resting-state functional connectivity of the rat brain.	15
Changes in thalamus connectivity in mild cognitive impairment: Evidence from resting state fMRI.	20
Functional connectivity of the insula in the resting brain.	28
Loss of coherence of low frequency fluctuations of BOLD fMRI in visual cortex of healthy aged subjects.	11
Graph theoretical analysis of functional brain networks: test-retest evaluation on short- and long-term resting-state functional MRI data.	40
Sources of functional magnetic resonance imaging signal fluctuations in the human brain at rest: a 7 T study.	9
Baseline BOLD correlation predicts individuals' stimulus-evoked BOLD responses.	19
SSRI administration reduces resting state functional connectivity in dorso-medial prefrontal cortex.	0
Altered functional connectivity in default mode network in absence epilepsy: a resting-state fMRI study.	23
Resting state corticolimbic connectivity abnormalities in unmedicated bipolar disorder and unipolar depression.	20
Functional connectivity of the human amygdala using resting state fMRI.	21
Long-term motor training induced changes in regional cerebral blood flow in both task and resting states.	9
Undirected graphs of frequency-dependent functional connectivity in whole brain networks.	7
Comparing functional connectivity via thresholding correlations and singular value decomposition.	7
Identifying the brain's most globally connected regions.	14
Apathy, depression, and motor symptoms have distinct and separable resting activity patterns in idiopathic Parkinson disease.	7
Changes in the interaction of resting-state neural networks from adolescence to adulthood.	16
Altered resting state complexity in schizophrenia.	25
Brain correlates of hypnotic paralysis-a resting-state fMRI study.	24
Selective changes of resting-state networks in individuals at risk for Alzheimer's disease.	22
Joint amplitude and connectivity compensatory mechanisms in Parkinson's disease.	4
Randomness of resting-state brain oscillations encodes Gray's personality trait.	7
Auditory hallucinations in schizophrenia are associated with reduced functional connectivity of the temporo-parietal area.	10
Dysconnectivity of multiple resting-state networks in patients with schizophrenia who have persistent auditory verbal hallucinations.	13
Network scaling effects in graph analytic studies of human resting-state FMRI data.	35
Energy-based stochastic control of neural mass models suggests time-varying effective connectivity in the resting state.	0
Toward discovery science of human brain function.	37
Never resting brain: simultaneous representation of two alpha related processes in humans.	8
A novel model-free data analysis technique based on clustering in a mutual information space: application to resting-state FMRI.	18
The global signal and observed anticorrelated resting state brain networks.	34
Disrupted modularity and local connectivity of brain functional networks in childhood-onset schizophrenia.	16
Interaction between aging and neurodegeneration in amyotrophic lateral sclerosis.	20
Characterizing variation in the functional connectome: promise and pitfalls.	64
The neural architecture of the language comprehension network: converging evidence from lesion and connectivity analyses.	18
Impaired cerebellar functional connectivity in schizophrenia patients and their healthy siblings.	18
Topographical functional connectivity pattern in the perisylvian language networks.	3
Restoration of mammillothalamic functional connectivity through thiamine replacement therapy in Wernicke's encephalopathy.	2
Development of functional and structural connectivity within the default mode network in young children.	34
Beyond acute social stress: Increased functional connectivity between amygdala and cortical midline structures.	9
Network-level structural covariance in the developing brain.	29
Mapping the functional connectivity of anterior cingulate cortex.	12
Loss of 'small-world' networks in Alzheimer's disease: graph analysis of FMRI resting-state functional connectivity.	13
Rolandic alpha and beta EEG rhythms' strengths are inversely related to fMRI-BOLD signal in primary somatosensory and motor cortex.	5
Uncovering intrinsic connectional architecture of functional networks in awake rat brain.	21
Resting-state EEG source localization and functional connectivity in schizophrenia-like psychosis of epilepsy.	16
Regional contraction of brain surface area involves three large-scale networks in schizophrenia.	8
A critical role for the right fronto-insular cortex in switching between central-executive and default-mode networks.	10
Reduced hippocampal activity during encoding in cognitively normal adults carrying the APOE ɛ4 allele.	4
Resting network plasticity following brain injury.	13
Changes in resting connectivity during recovery from severe traumatic brain injury.	31
Noise during rest enables the exploration of the brain's dynamic repertoire.	13
Cognitive and default-mode resting state networks: do male and female brains "rest" differently?	14
Functional brain network modularity captures inter- and intra-individual variation in working memory capacity.	10
Fundamentals of electroencefalography, magnetoencefalography, and functional magnetic resonance imaging.	0
Functional connectivity MR imaging of the language network in patients with drug-resistant epilepsy.	9
Brain connectivity during resting state and subsequent working memory task predicts behavioural performance.	20
Temporally-independent functional modes of spontaneous brain activity.	5
Increased neural resources recruitment in the intrinsic organization in major depression.	19
A shift to randomness of brain oscillations in people with autism.	9
Neuroimaging technique: a diagnostic tool to detect altered states of consciousness.	4
Low frequency fluctuations reveal integrated and segregated processing among the cerebral hemispheres.	35
Altered functional magnetic resonance imaging resting-state connectivity in periaqueductal gray networks in migraine.	4
Personality traits and the amplitude of spontaneous low-frequency oscillations during resting state.	5
Altered small-world brain functional networks and duration of heroin use in male abstinent heroin-dependent individuals.	6
Modulation of default-mode network activity by acute tryptophan depletion is associated with mood change: a resting state functional magnetic resonance imaging study.	10
Striatal functional connectivity networks are modulated by fMRI resting state conditions.	22
Low-frequency BOLD fluctuations demonstrate altered thalamocortical connectivity in schizophrenia.	13
Resting-state brain networks: literature review and clinical applications.	43
Dimensional brain-behavior relationships in children with attention-deficit/hyperactivity disorder.	15
Independent component model of the default-mode brain function: combining individual-level and population-level analyses in resting-state fMRI.	12
Emerging imaging tools for use with traumatic brain injury research.	3
Differential temporo-parietal cortical networks that support relational and item-based recency judgments.	2
Default-mode brain dysfunction in mental disorders: a systematic review.	62
Greater than the sum of its parts: a review of studies combining structural connectivity and resting-state functional connectivity.	14
Reliability analysis of the resting state can sensitively and specifically identify the presence of Parkinson disease.	10
Monofractal and multifractal dynamics of low frequency endogenous brain oscillations in functional MRI.	5
Effects of training of processing speed on neural systems.	1
fMRI resting state networks define distinct modes of long-distance interactions in the human brain.	8
Resting-state networks in awake five- to eight-year old children.	31
Temporal dynamics of spontaneous MEG activity in brain networks.	18
Impaired perceptual networks in temporal lobe epilepsy revealed by resting fMRI.	7
Reproducibility of single-subject functional connectivity measurements.	30
Differential interictal activity of the precuneus/posterior cingulate cortex revealed by resting state functional MRI at 3T in generalized vs. partial seizure.	7
Joint generative model for fMRI/DWI and its application to population studies.	6
Functional connectivity between the thalamus and visual cortex under eyes closed and eyes open conditions: a resting-state fMRI study.	20
Brain default-mode network abnormalities in hepatic encephalopathy: A resting-state functional MRI study.	11
Cocaine administration decreases functional connectivity in human primary visual and motor cortex as detected by functional MRI.	3
Depression uncouples brain hate circuit.	10
Modulation of temporally coherent brain networks estimated using ICA at rest and during cognitive tasks.	18
Abnormal T2 relaxation time in the cerebellar vermis of adults sexually abused in childhood: potential role of the vermis in stress-enhanced risk for drug abuse.	0
Where the BOLD signal goes when alpha EEG leaves.	4
Noninvasive functional and structural connectivity mapping of the human thalamocortical system.	17
Specific somatotopic organization of functional connections of the primary motor network during resting state.	28
The organization of the human cerebellum estimated by intrinsic functional connectivity.	20
I know the pain you feel-how the human brain's default mode predicts our resonance to another's suffering.	8
Changes in the regional homogeneity of resting-state brain activity in minimal hepatic encephalopathy.	8
Are posterior default-mode networks more robust than anterior default-mode networks? Evidence from resting-state fMRI data analysis.	9
Default mode of brain activity demonstrated by positron emission tomography imaging in awake monkeys: higher rest-related than working memory-related activity in medial cortical areas.	9
The functional architecture of the infant brain as revealed by resting-state FMRI.	29
Resting state functional connectivity in addiction: Lessons learned and a road ahead.	58
Increased activity imbalance in fronto-subcortical circuits in adolescents with major depression.	13
Regional homogeneity changes in patients with Parkinson's disease.	9
Development of distinct control networks through segregation and integration.	7
Modular organization of brain resting state networks in chronic back pain patients.	15
Precuneus shares intrinsic functional architecture in humans and monkeys.	21
Impairment and compensation coexist in amnestic MCI default mode network.	15
Automatic physiological waveform processing for FMRI noise correction and analysis.	6
Interrater and intermethod reliability of default mode network selection.	22
A resting state network in the motor control circuit of the basal ganglia.	26
Intrinsically organized network for word processing during the resting state.	3
Association between functional connectivity hubs and brain networks.	18
Altered resting state in diabetic neuropathic pain.	16
A serial functional connectivity MRI study in healthy individuals assessing the variability of connectivity measures: reduced interhemispheric connectivity in the motor network during continuous performance.	17
Frequency specificity of functional connectivity in brain networks.	22
Neural Encoding of Objects Relevant for Navigation and Resting State Correlations with Navigational Ability.	5
Causes and consequences of cerebral small vessel disease. The RUN DMC study: a prospective cohort study. Study rationale and protocol.	1
Principles of magnetic resonance assessment of brain function.	4
Lifelong bilingualism maintains white matter integrity in older adults.	2
The effect of respiration variations on independent component analysis results of resting state functional connectivity.	19
Test-retest reproducibility of the default-mode network in healthy individuals.	13
Combining graph and machine learning methods to analyze differences in functional connectivity across sex.	17
Altered function and connectivity of the medial frontal cortex in pediatric obsessive-compulsive disorder.	16
Reduced prefrontal functional connectivity in the default mode network is related to greater psychopathology in subjects with high genetic loading for schizophrenia.	8
Functional connectivity of the sensorimotor area in naturally sleeping infants.	12
Emotional experience modulates brain activity during fixation periods between tasks.	11
Independent component model of the default-mode brain function: Assessing the impact of active thinking.	7
Evaluating the effective connectivity of resting state networks using conditional Granger causality.	19
Persistent default-mode network connectivity during light sedation.	24
The effects of APOE on the functional architecture of the resting brain.	12
Activity and connectivity of brain mood regulating circuit in depression: a functional magnetic resonance study.	3
Task-induced deactivation and the "resting" state.	6
Altered self-referential network in resting-state amnestic type mild cognitive impairment.	48
Disrupted intrinsic functional connectivity in the vegetative state.	3
A weighted-RV method to detect fine-scale functional connectivity during resting state.	15
Decreased regional homogeneity in insula and cerebellum: a resting-state fMRI study in patients with major depression and subjects at high risk for major depression.	11
The utility of near-infrared spectroscopy in the regression of low-frequency physiological noise from functional magnetic resonance imaging data.	7
Group independent component analysis reveals consistent resting-state networks across multiple sessions.	25
Repetition priming influences distinct brain systems: evidence from task-evoked data and resting-state correlations.	4
Detection and scaling of task-induced fMRI-BOLD response using resting state fluctuations.	1
Metabolic brain networks in neurodegenerative disorders: a functional imaging approach.	3
Subspace-based Identification Algorithm for characterizing causal networks in resting brain.	18
Non-invasive electrical stimulation of the brain (ESB) modifies the resting-state network connectivity of the primary motor cortex: A proof of concept fMRI study.	5
Differential relationships between transcallosal structural and functional connectivity in young and older adults.	4
Watching social interactions produces dorsomedial prefrontal and medial parietal BOLD fMRI signal increases compared to a resting baseline.	4
The nature of brain dysfunction in autism: functional brain imaging studies.	9
Structural integrity of the uncinate fasciculus and resting state functional connectivity of the ventral prefrontal cortex in late life depression.	6
Resting-State Brain Activity in Schizophrenia and Major Depression: A Quantitative Meta-Analysis.	14
Altered resting-state connectivity in subjects at ultra-high risk for psychosis: an fMRI study.	16
Graph-based network analysis of resting-state functional MRI.	69
ICA-fNORM: spatial normalization of fMRI data using intrinsic group-ICA networks.	11
Mapping functionally related regions of brain with functional connectivity MR imaging.	1
Changes in resting neural connectivity during propofol sedation.	20
Resting state fMRI in Alzheimer's disease: beyond the default mode network.	24
Two distinct neuronal networks mediate the awareness of environment and of self.	13
Effects of transcranial direct current stimulation (tDCS) on human regional cerebral blood flow.	0
Modulating cortico-striatal and thalamo-cortical functional connectivity with transcranial direct current stimulation.	11
Personality is reflected in the brain's intrinsic functional architecture.	32
fMRI study of mesial temporal lobe epilepsy using amplitude of low-frequency fluctuation analysis.	10
Investigation of long-term reproducibility of intrinsic connectivity network mapping: A resting-state fMRI study.	30
Granger causality analysis implementation on MATLAB: A graphic user interface toolkit for fMRI data processing.	14
Recent developments of functional magnetic resonance imaging research for drug development in Alzheimer's disease.	33
Brain plasticity in relapsing-remitting multiple sclerosis: evidence from resting-state fMRI.	9
Default network correlations analyzed on native surfaces.	29
Higher-order contrast functions improve performance of independent component analysis of fMRI data.	3
Disruption of functional connectivity in clinically normal older adults harboring amyloid burden.	18
Network Centrality in the Human Functional Connectome.	43
Fractional Gaussian noise, functional MRI and Alzheimer's disease.	1
Altered functional connectivity in early Alzheimer's disease: a resting-state fMRI study.	13
Functional connectivity in the default network during resting state is preserved in a vegetative but not in a brain dead patient.	13
Altered networks in bothersome tinnitus: a functional connectivity study.	17
Altered regional homogeneity in motor cortices in patients with multiple system atrophy.	9
Frequency-specific functional connectivity in the brain during resting state revealed by NIRS.	13
Electrical brain stimulation improves cognitive performance by modulating functional connectivity and task-specific activation.	9
Antidepressant medications reduce subcortical-cortical resting-state functional connectivity in healthy volunteers.	17
Alteration of resting brain function by genetic variation in angiotensin converting enzyme in amnestic-type mild cognitive impairment of Chinese Han.	4
Instantaneous and causal connectivity in resting state brain networks derived from functional MRI data.	17
Whole brain resting-state analysis reveals decreased functional connectivity in major depression.	22
A dual-networks architecture of top-down control.	10
Reactivity of hemodynamic responses and functional connectivity to different states of alpha synchrony: a concurrent EEG-fMRI study.	19
Corticosteroid induced decoupling of the amygdala in men.	8
Amplitude of low-frequency oscillations in schizophrenia: a resting state fMRI study.	23
A study of the brain's resting state based on alpha band power, heart rate and fMRI.	11
Parcellation-dependent small-world brain functional networks: a resting-state fMRI study.	9
Functionally specific changes in resting-state sensorimotor networks after motor learning.	5
Functional brain connectivity at rest changes after working memory training.	26
Amplitude low-frequency oscillation abnormalities in the heroin users: a resting state fMRI study.	19
Resting functional connectivity in patients with brain tumors in eloquent areas.	3
Functional segregation of the human cingulate cortex is confirmed by functional connectivity based neuroanatomical parcellation.	16
Impact of visual repetition rate on intrinsic properties of low frequency fluctuations in the visual network.	9
Predicting decisions in human social interactions using real-time fMRI and pattern classification.	1
A whole-brain voxel based measure of intrinsic connectivity contrast reveals local changes in tissue connectivity with anesthetic without a priori assumptions on thresholds or regions of interest.	12
Functional connectivity between ventral prefrontal cortex and amygdala at low frequency in the resting state in bipolar disorder.	14
Brain activation during autobiographical memory retrieval with special reference to default mode network.	8
The cognitive control network: Integrated cortical regions with dissociable functions.	3
Functional connectivity mapping of the human precuneus by resting state fMRI.	37
Network analysis of intrinsic functional brain connectivity in Alzheimer's disease.	16
Exploring the brain network: a review on resting-state fMRI functional connectivity.	56
Assessing functional connectivity in the human brain by fMRI.	26
A geometric view of global signal confounds in resting-state functional MRI.	10
Fractal analysis of spontaneous fluctuations of the BOLD signal in rat brain.	14
Caffeine reduces resting-state BOLD functional connectivity in the motor cortex.	18
Multimodal and Multi-tissue Measures of Connectivity Revealed by Joint Independent Component Analysis.	9
Resting-state networks in the macaque at 7T.	27
Alterations in regional homogeneity of baseline brain activity in pediatric temporal lobe epilepsy.	16
Baseline and longitudinal patterns of hippocampal connectivity in mild cognitive impairment: Evidence from resting state fMRI.	22
Abnormal connectivity between attentional, language and auditory networks in schizophrenia.	10
Watching the fetal brain at 'rest'.	24
Alterations in regional homogeneity of resting-state brain activity in autism spectrum disorders.	18
Resting-state functional connectivity of the medial superior frontal cortex.	13
Topographic maps of multisensory attention.	20
Cortical hubs revealed by intrinsic functional connectivity: mapping, assessment of stability, and relation to Alzheimer's disease.	27
Structural and functional neuronal connectivity in Alzheimer's disease	7
Neural intrinsic connectivity networks associated with risk aversion in old age.	6
Regional homogeneity changes in social anxiety disorder: A resting-state fMRI study.	23
