index,Title,URL,Year,Citations,Versions,Cluster ID,PDF link,Citations list,Versions list,Citation link,Excerpt,Journal,Authors,Publisher,CPY,PMCIDS,Full,Excerpts
10,Scientific utopia: II. Restructuring incentives and practices to promote truth over publishability,http://journals.sagepub.com/doi/abs/10.1177/1745691612459058,2012.0,391,18,17852935781221697184,,"http://scholar.google.com/scholar?cites=17852935781221697184&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=17852935781221697184&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:oIaUDYFewvcJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYmVObuHwSTQtLvt5txLwSYCnqbWW_&scisf=4&ct=citation&cd=608&hl=en,,Perspectives on Psychological Science,"Nosek, Brian A & Spies, Jeffrey R & Motyl, Matt","Sage Publications Sage CA: Los Angeles, CA",65.16666666666667,26168121,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=26168121&cmd=prlinks&retmode=ref,[]
11,The Human Connectome Project: a data acquisition perspective,http://www.sciencedirect.com/science/article/pii/S1053811912001954,2012.0,377,11,6717725348543463048,,"http://scholar.google.com/scholar?cites=6717725348543463048&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=6717725348543463048&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:iP6RypwnOl0J:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYVyeVmh5HhiLRPlQSWsK06l2N1GaQ&scisf=4&ct=citation&cd=186&hl=en,"... EPI, echo-planar imaging; HCP, Human Connectome Project, WU-Minn Consortium; INDI,International Neuroimaging Data-sharing Initiative; ... Achenbach Adult Self Report (Achenbachet al., 2005), as used in the NKI-Rockland project (http://fcon_1000.projects.nitrc.org/indi/pro ...",Neuroimage,"Van Essen, David C & Ugurbil, Kamil & Auerbach, E & Barch, D & Behrens, TEJ & Bucholz, R & Chang, Acer & Chen, Liyong & Corbetta, Maurizio & Curtiss, Sandra W & others",Elsevier,62.83333333333334,22366334,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=22366334&cmd=prlinks&retmode=ref,['N/A']
12,Network centrality in the human functional connectome,http://cercor.oxfordjournals.org/content/22/8/1862.short,2012.0,345,16,6622523526495612444,,"http://scholar.google.com/scholar?cites=6622523526495612444&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=6622523526495612444&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:HC5wSQ_u51sJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYOjhMsAlL3Iv8tD_DPnyx3pL_wVvv&scisf=4&ct=citation&cd=12&hl=en,"... phenotypic relationships. Specifically, we carried out our analyses using a largesample (ie, 1003 R-fMRI data sets from the 1000 Functional Connectomes Project:FCP, http://fcon_1000.projects.nitrc.org) to build up VNCM. We ...",Cerebral cortex,"Zuo, Xi-Nian & Ehmke, Ross & Mennes, Maarten & Imperati, Davide & Castellanos, F Xavier & Sporns, Olaf & Milham, Michael P",Oxford Univ Press,57.5,26025199,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=26025199&cmd=prlinks&retmode=ref,[]
13,Challenges of big data analysis,http://nsr.oxfordjournals.org/content/1/2/293.short,2014.0,223,22,4459016693509820939,,"http://scholar.google.com/scholar?cites=4459016693509820939&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=4459016693509820939&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:C5Iw0A6c4T0J:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYXAc3kvB0eQPe1Dnq9cK8TMsCrhYx&scisf=4&ct=citation&cd=216&hl=en,"... 45]. Primary sources of fMRI data arise from the International Data Sharing Initiativeand the 1000 Functional Connectomes Project [46], Autism Brain Imaging DataExchange (ABIDE) [47] and ADHD-200 [48] datasets. These ...",National science review,"Fan, Jianqing & Han, Fang & Liu, Han",Oxford University Press,55.75,27895547,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=27895547&cmd=prlinks&retmode=ref,[]
14,Large-scale brain systems in ADHD: beyond the prefrontal–striatal model,http://www.sciencedirect.com/science/article/pii/S1364661311002403,2012.0,305,20,17555220410364244961,,"http://scholar.google.com/scholar?cites=17555220410364244961&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=17555220410364244961&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:4bNyofOroPMJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYOZqCdIfNzVnNExDV74eDWD71XWwf&scisf=4&ct=citation&cd=6&hl=en,"... This has advanced the goal of open sharing of primary data and analytical methods such as the1000 Functional Connectomes Project (http://fcon_1000.projects.nitrc.org/), the ADHD-200 Sample(http://fcon_1000.projects.nitrc.org/indi/adhd200/) and the Human Connectome ...",Trends in cognitive sciences,"Castellanos, F Xavier & Proal, Erika",Elsevier,50.83333333333334,22169776,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=22169776&cmd=prlinks&retmode=ref,['N/A']
15,The neural architecture of the language comprehension network: converging evidence from lesion and connectivity analyses,http://journal.frontiersin.org/article/10.3389/fnsys.2011.00001,2011.0,326,20,6247552486415500976,,"http://scholar.google.com/scholar?cites=6247552486415500976&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=6247552486415500976&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:sIZnrOLDs1YJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYhrcZ0LPOIl8Kq0Qyd0Yu_0BVCnd4&scisf=4&ct=citation&cd=484&hl=en,"... structural imaging data 7 (Biswal et al., 2010). We chose to use the NYU Test RetestReliability dataset from the 1000 Functional Connectomes Project database, as thesubjects in this study were scanned on three different dates an.",Frontiers in systems neuroscience,"Dronkers, Nina F & others",Frontiers,46.57142857142857,21347218,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=21347218&cmd=prlinks&retmode=ref,"['). We chose to use the NYU Test Retest Reliability dataset from the 1000 Functional Connectomes Project database, as the subjects in this study were scanned on three different dates and the stability of the functional connectivity patterns have been demonstrated (']"
16,Advances in diffusion MRI acquisition and processing in the Human Connectome Project,http://www.sciencedirect.com/science/article/pii/S105381191300551X,2013.0,196,14,5268304084176728477,,"http://scholar.google.com/scholar?cites=5268304084176728477&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=5268304084176728477&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:nfEX4qbGHEkJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYV35mwncsKBpEQYfNm5_k1IxLVMVk&scisf=4&ct=citation&cd=181&hl=en,... Some examples include the Thousand Functional Connectomes project (http://fcon_1000.projects.nitrc.org); the Alzheimer's Disease Neuroimaging Initiative (http://www.adni-info.org/); the AGESReykjavik Study of Healthy Aging (http://www.hjarta.is/english/ages); and the ...,Neuroimage,"Sotiropoulos, Stamatios N & Jbabdi, Saad & Xu, Junqian & Andersson, Jesper L & Moeller, Steen & Auerbach, Edward J & Glasser, Matthew F & Hernandez, Moises & Sapiro, Guillermo & Jenkinson, Mark & others",Elsevier,39.2,23702418,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=23702418&cmd=prlinks&retmode=ref,['N/A']
17,Weight-conserving characterization of complex functional brain networks,http://www.sciencedirect.com/science/article/pii/S105381191100348X,2011.0,258,16,11936305317265932734,,"http://scholar.google.com/scholar?cites=11936305317265932734&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=11936305317265932734&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:vgE-3nFGpqUJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYVh3qEUMc4JNOnJ91_VBXE4NDAwql&scisf=4&ct=citation&cd=170&hl=en,"... our methods by demonstrating degenerate high-modularity partitions and strong correlationsbetween two complementary measures of centrality in resting-state functional magnetic resonanceimaging (MRI) networks from the 1000 Functional Connectomes Project, an open ...",Neuroimage,"Rubinov, Mikail & Sporns, Olaf",Elsevier,36.857142857142854,21459148,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=21459148&cmd=prlinks&retmode=ref,['N/A']
18,Tractography: where do we go from here?,http://online.liebertpub.com/doi/abs/10.1089/brain.2011.0033,2011.0,250,6,15455242878419031264,,"http://scholar.google.com/scholar?cites=15455242878419031264&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=15455242878419031264&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:4FSNNYMNfNYJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYnk8VEMg003olF6e8oLX0fq6ak_hH&scisf=4&ct=citation&cd=632&hl=en,"Skip Navigation Mary Ann Liebert, Inc. publishers. ...",Brain connectivity,"Jbabdi, Saad & Johansen-Berg, Heidi","Mary Ann Liebert, Inc. 140 Huguenot Street, 3rd Floor New Rochelle, NY 10801 USA",35.714285714285715,22433046,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=22433046&cmd=prlinks&retmode=ref,[]
19,Aging and functional brain networks,http://www.nature.com/mp/journal/v17/n5/abs/mp201181a.html,2012.0,208,20,12717038612837728487,,"http://scholar.google.com/scholar?cites=12717038612837728487&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=12717038612837728487&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:54AemT3_e7AJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYVk8rwpESmLgX3vHcKEj8lqZVS7Dn&scisf=4&ct=citation&cd=175&hl=en,... Subjects. Functional scans that were collected in resting conditions and correspond to 913 healthysubjects (Supplementary Table 1) from 19 research sites of the '1000 Functional Connectomes'Project (http://www.nitrc.org/projects/fcon_1000/) were included in the study. ...,Molecular psychiatry,"Tomasi, Dardo & Volkow, Nora D",Nature Publishing Group,34.666666666666664,26493108,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=26493108&cmd=prlinks&retmode=ref,['N/A']
20,"Toward reliable characterization of functional homogeneity in the human brain: preprocessing, scan duration, imaging resolution and computational space",http://www.sciencedirect.com/science/article/pii/S1053811912010208,2013.0,171,17,2410745580831761940,,"http://scholar.google.com/scholar?cites=2410745580831761940&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=2410745580831761940&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:FOZRRVWwdCEJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYPHCQCOf2O9gENO9W5th5faIEVkh8&scisf=4&ct=citation&cd=20&hl=en,"While researchers have extensively characterized functional connectivity between brain regions,the characterization of functional homogeneity within a region o.",Neuroimage,"Zuo, Xi-Nian & Xu, Ting & Jiang, Lili & Yang, Zhi & Cao, Xiao-Yan & He, Yong & Zang, Yu-Feng & Castellanos, F Xavier & Milham, Michael P",Elsevier,34.2,23085497,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=23085497&cmd=prlinks&retmode=ref,['N/A']
21,Functional connectivity mapping of the human precuneus by resting state fMRI,http://www.sciencedirect.com/science/article/pii/S1053811911013048,2012.0,203,14,3897632635558090709,,"http://scholar.google.com/scholar?cites=3897632635558090709&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=3897632635558090709&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:1ddoQzssFzYJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYbbw6PTpmQFj8rNkHpIIf0rPVpuJI&scisf=4&ct=citation&cd=328&hl=en,"Precuneus responds to a wide range of cognitive processes. Here, we examined how thepatterns of resting state connectivity may define functional subregions in.",Neuroimage,"Zhang, Sheng & Chiang-shan, R Li",Elsevier,33.833333333333336,22116037,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=22116037&cmd=prlinks&retmode=ref,['N/A']
