i,Title,URL,Year,Citations,Versions,Cluster ID,PDF link,Citations list,Versions list,Citation link,Excerpt,Journal,Authors,Publisher,Citations Per Year,Journal Category,PMCID,Affiliations,Qualifiers,Data Use,Sets
10,Scientific utopia: II. Restructuring incentives and practices to promote truth over publishability,http://journals.sagepub.com/doi/abs/10.1177/1745691612459058,2012.0,391,18,17852935781221697184,,"http://scholar.google.com/scholar?cites=17852935781221697184&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=17852935781221697184&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:oIaUDYFewvcJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYmVObuHwSTQtLvt5txLwSYCnqbWW_&scisf=4&ct=citation&cd=608&hl=en,,Perspectives on Psychological Science,"Nosek, Brian A & Spies, Jeffrey R & Motyl, Matt","Sage Publications Sage CA: Los Angeles, CA",65.16666666666667,Journal,26168121,University of Virginia. && University of Virginia nosek@virginia.edu.,false positives & methodology & motivated reasoning & replication & incentives,N,FCP
11,The Human Connectome Project: a data acquisition perspective,http://www.sciencedirect.com/science/article/pii/S1053811912001954,2012.0,377,11,6717725348543463048,,"http://scholar.google.com/scholar?cites=6717725348543463048&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=6717725348543463048&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:iP6RypwnOl0J:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYVyeVmh5HhiLRPlQSWsK06l2N1GaQ&scisf=4&ct=citation&cd=186&hl=en,"... EPI, echo-planar imaging; HCP, Human Connectome Project, WU-Minn Consortium; INDI,International Neuroimaging Data-sharing Initiative; ... Achenbach Adult Self Report (Achenbachet al., 2005), as used in the NKI-Rockland project (http://fcon_1000.projects.nitrc.org/indi/pro ...",Neuroimage,"Van Essen, David C & Ugurbil, Kamil & Auerbach, E & Barch, D & Behrens, TEJ & Bucholz, R & Chang, Acer & Chen, Liyong & Corbetta, Maurizio & Curtiss, Sandra W & others",Elsevier,62.83333333333334,Journal,22366334,"Department of Anatomy & Neurobiology, Washington University, St. Louis, MO, USA. vanessen@wustl.edu",anatomy & histology & methods & physiology,N,NKI
12,Network centrality in the human functional connectome,http://cercor.oxfordjournals.org/content/22/8/1862.short,2012.0,345,16,6622523526495612444,,"http://scholar.google.com/scholar?cites=6622523526495612444&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=6622523526495612444&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:HC5wSQ_u51sJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYOjhMsAlL3Iv8tD_DPnyx3pL_wVvv&scisf=4&ct=citation&cd=12&hl=en,"... phenotypic relationships. Specifically, we carried out our analyses using a largesample (ie, 1003 R-fMRI data sets from the 1000 Functional Connectomes Project:FCP, http://fcon_1000.projects.nitrc.org) to build up VNCM. We ...",Cerebral cortex,"Zuo, XiNian & Ehmke, Ross & Mennes, Maarten & Imperati, Davide & Castellanos, F Xavier & Sporns, Olaf & Milham, Michael P",Oxford Univ Press,57.5,Journal,26025199,"Department of Epileptology, University Clinics Bonn, Bonn, Germany. && Department of Psychology, University of Bonn, Kaiser-Karl-Ring 9, 53111, Bonn, Germany. sebastian.markett@uni-bonn-diff.de. && Institute for Numerical Simulation, University of Bonn, Bonn, Germany. && Department of Psychology, University of Ulm, Ulm, Germany. && Department of Psychology, University of Bonn, Kaiser-Karl-Ring 9, 53111, Bonn, Germany. && Life and Brain Center Bonn, Bonn, Germany. && Center for Economics and Neuroscience, University of Bonn, Bonn, Germany. && Center for Economics and Neuroscience, University of Bonn, Bonn, Germany. sebastian.markett@uni-bonn-diff.de.",Resting-state fMRI & Functional connectome & Default mode network & Functional connectivity & Catechol-O-methyltransferase,Y,FCP
13,Challenges of big data analysis,http://nsr.oxfordjournals.org/content/1/2/293.short,2014.0,223,22,4459016693509820939,,"http://scholar.google.com/scholar?cites=4459016693509820939&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=4459016693509820939&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:C5Iw0A6c4T0J:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYXAc3kvB0eQPe1Dnq9cK8TMsCrhYx&scisf=4&ct=citation&cd=216&hl=en,"... 45]. Primary sources of fMRI data arise from the International Data Sharing Initiativeand the 1000 Functional Connectomes Project [46], Autism Brain Imaging DataExchange (ABIDE) [47] and ADHD-200 [48] datasets. These ...",National science review,"Fan, Jianqing & Han, Fang & Liu, Han",Oxford University Press,55.75,Journal,27895547,"Department of Operations Research and Financial Engineering, Princeton University New Jersey, NJ, USA. && Department of Biostatistics, Johns Hopkins University Baltimore, MD, USA. && Department of Biostatistics, University of Michigan Ann Arbor, MI, USA.",big data analytics & neuroimaging,N,ADHD200;CORR;ABIDE
14,Large-scale brain systems in ADHD: beyond the prefrontal–striatal model,http://www.sciencedirect.com/science/article/pii/S1364661311002403,2012.0,305,20,17555220410364244961,,"http://scholar.google.com/scholar?cites=17555220410364244961&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=17555220410364244961&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:4bNyofOroPMJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYOZqCdIfNzVnNExDV74eDWD71XWwf&scisf=4&ct=citation&cd=6&hl=en,"... This has advanced the goal of open sharing of primary data and analytical methods such as the1000 Functional Connectomes Project (http://fcon_1000.projects.nitrc.org/), the ADHD-200 Sample(http://fcon_1000.projects.nitrc.org/indi/adhd200/) and the Human Connectome ...",Trends in cognitive sciences,"Castellanos, F Xavier & Proal, Erika",Elsevier,50.83333333333334,Journal,22169776,"Phyllis Green and Randolph Cowen Institute for Pediatric Neuroscience, Child Study Center, NYU Langone School of Medicine, New York, NY, USA. francisco.castellanos@nyumc.org",physiopathology & methods,N,ADHD200
15,The neural architecture of the language comprehension network: converging evidence from lesion and connectivity analyses,http://journal.frontiersin.org/article/10.3389/fnsys.2011.00001,2011.0,326,20,6247552486415500976,,"http://scholar.google.com/scholar?cites=6247552486415500976&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=6247552486415500976&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:sIZnrOLDs1YJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYhrcZ0LPOIl8Kq0Qyd0Yu_0BVCnd4&scisf=4&ct=citation&cd=484&hl=en,"... structural imaging data 7 (Biswal et al., 2010). We chose to use the NYU Test RetestReliability dataset from the 1000 Functional Connectomes Project database, as thesubjects in this study were scanned on three different dates an.",Frontiers in systems neuroscience,"Dronkers, Nina F & others",Frontiers,46.57142857142857,Journal,21347218,"Department of Veterans Affairs Northern California Health Care System, Center for Aphasia and Related Disorders Martinez, CA, USA.",language comprehension & middle temporal gyrus & aphasia & language network & resting-state functional connectivity & structural connectivity & disconnection & fiber tracts,Y,FCP
16,Advances in diffusion MRI acquisition and processing in the Human Connectome Project,http://www.sciencedirect.com/science/article/pii/S105381191300551X,2013.0,196,14,5268304084176728477,,"http://scholar.google.com/scholar?cites=5268304084176728477&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=5268304084176728477&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:nfEX4qbGHEkJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYV35mwncsKBpEQYfNm5_k1IxLVMVk&scisf=4&ct=citation&cd=181&hl=en,... Some examples include the Thousand Functional Connectomes project (http://fcon_1000.projects.nitrc.org); the Alzheimer's Disease Neuroimaging Initiative (http://www.adni-info.org/); the AGESReykjavik Study of Healthy Aging (http://www.hjarta.is/english/ages); and the ...,Neuroimage,"Sotiropoulos, Stamatios N & Jbabdi, Saad & Xu, Junqian & Andersson, Jesper L & Moeller, Steen & Auerbach, Edward J & Glasser, Matthew F & Hernandez, Moises & Sapiro, Guillermo & Jenkinson, Mark & others",Elsevier,39.2,Journal,23702418,"Centre for Functional Magnetic Resonance Imaging of the Brain, University of Oxford, Oxford, UK. stam@fmrib.ox.ac.uk",anatomy & histology & physiology & trends,N,FCP
17,Weight-conserving characterization of complex functional brain networks,http://www.sciencedirect.com/science/article/pii/S105381191100348X,2011.0,258,16,11936305317265932734,,"http://scholar.google.com/scholar?cites=11936305317265932734&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=11936305317265932734&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:vgE-3nFGpqUJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYVh3qEUMc4JNOnJ91_VBXE4NDAwql&scisf=4&ct=citation&cd=170&hl=en,"... our methods by demonstrating degenerate high-modularity partitions and strong correlationsbetween two complementary measures of centrality in resting-state functional magnetic resonanceimaging (MRI) networks from the 1000 Functional Connectomes Project, an open ...",Neuroimage,"Rubinov, Mikail & Sporns, Olaf",Elsevier,36.857142857142854,Journal,21459148,"Black Dog Institute and School of Psychiatry, University of New South Wales, Sydney, Australia. m.rubinov@student.unsw.edu.au",methods & physiology,Y,FCP
18,Tractography: where do we go from here?,http://online.liebertpub.com/doi/abs/10.1089/brain.2011.0033,2011.0,250,6,15455242878419031264,,"http://scholar.google.com/scholar?cites=15455242878419031264&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=15455242878419031264&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:4FSNNYMNfNYJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYnk8VEMg003olF6e8oLX0fq6ak_hH&scisf=4&ct=citation&cd=632&hl=en,"Skip Navigation Mary Ann Liebert, Inc. publishers. ...",Brain connectivity,"Jbabdi, Saad & JohansenBerg, Heidi","Mary Ann Liebert, Inc. 140 Huguenot Street, 3rd Floor New Rochelle, NY 10801 USA",35.714285714285715,Journal,22433046,"FMRIB Centre, University of Oxford, United Kingdom. saad@fmrib.ox.ac.uk",methods & metabolism & physiology & trends,N,FCP
19,Aging and functional brain networks,http://www.nature.com/mp/journal/v17/n5/abs/mp201181a.html,2012.0,208,20,12717038612837728487,,"http://scholar.google.com/scholar?cites=12717038612837728487&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=12717038612837728487&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:54AemT3_e7AJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYVk8rwpESmLgX3vHcKEj8lqZVS7Dn&scisf=4&ct=citation&cd=175&hl=en,... Subjects. Functional scans that were collected in resting conditions and correspond to 913 healthysubjects (Supplementary Table 1) from 19 research sites of the '1000 Functional Connectomes'Project (http://www.nitrc.org/projects/fcon_1000/) were included in the study. ...,Molecular psychiatry,"Tomasi, Dardo & Volkow, Nora D",Nature Publishing Group,34.666666666666664,Journal,26493108,"Interdisciplinary Neuroscience Graduate training program, University of Iowa, USA. && Department of Psychological and Brain Sciences, University of Iowa, USA. && Department of Psychological and Brain Sciences, University of Iowa, USA. Electronic address: michelle-voss@uiowa.edu. && Department of Kinesiology and Community Health, University of Illinois at Urbana-Champaign, USA. && The Beckman Institute for Advanced Science and Technology, University of Illinois, Urbana-Champaign, USA. && Department of Human Development and Family Studies, Colorado State University, USA.",Functional connectivity & Physical activity & Aging & Cardiorespiratory fitness & Resting state fMRI,Y,FCP
